Recipe Title,URL,Blogger Name,Alignment Score,Meal Type,Cuisine Style,Rating,Notes
Fall-Apart Tender Braised Beef Chili,https://playswellwithbutter.com/braised-beef-chili/,Plays Well With Butter,84,Entree,American,5.0 (8 reviews),Stew meat or chuck roast; smoky spices; slow braise
Slow Cooker Salsa Verde Chicken,https://allthehealthythings.com/slow-cooker-salsa-verde-chicken/,All the Healthy Things,84,Entree,Latin/South American,5.0 (3 reviews),Set-it-forget-it; versatile for tacos/bowls; Whole30 adaptable
Salsa Chicken (Crock Pot),https://allthehealthythings.com/salsa-chicken/,All the Healthy Things,84,Entree,Latin/South American,5.0 (1 review),"Easy; use for tacos, burritos, salads; dairy-free"
Lentil Coconut Curry,https://www.veganricha.com/lentil-coconut-curry/,Vegan Richa,80,Entree,Indian,5.0 (35 ratings),30 min; one-pan; no tomato; rich & creamy; vegan
Lentil Chickpea Stew with Sun-Dried Tomato,https://www.veganricha.com/lentil-chickpea-stew/,Vegan Richa,80,Entree,Mediterranean,4.94 (98 ratings),1-pan; Italian herbs; vegan; adaptable to curry
Chickpea Lentil Quinoa Spinach Stew,https://www.veganricha.com/chickpea-lentil-quinoa-spinach-stew/,Vegan Richa,80,Entree,Indian,5.0 (46 ratings),1-pan; Indian curry flavors; 10 min active; vegan
Pumpkin Chickpea Curry,https://www.veganricha.com/pumpkin-chickpea-curry/,Vegan Richa,80,Entree,Indian,4.92 (24 ratings),Easy; vegan; pumpkin + chickpeas; coconut milk
Curry Leaf Pepper Chickpeas,https://www.veganricha.com/curry-leaf-pepper-chickpeas/,Vegan Richa,80,Entree,Indian,5.0 (7 ratings),South Indian coconut pepper curry leaf sauce; vegan
Sheet Pan Salmon with Honey Garlic & Brussels Sprouts,https://www.howsweeteats.com/2018/03/sheet-pan-salmon-brussels/,How Sweet Eats,78,Entree,American,4.97 (232 ratings),3 additional ingredients; very easy sheet pan meal
Salmon Aglio e Olio with Lemon Parmesan Orzo,https://www.howsweeteats.com/2025/09/salmon-aglio-olio/,How Sweet Eats,78,Entree,Italian,5.0 (1 rating),Garlicky salmon; lemon parmesan orzo side; weeknight
Crispy Chicken Mediterranean Salad,https://www.howsweeteats.com/2023/10/crispy-chicken-mediterranean-salad/,How Sweet Eats,78,Entree,Mediterranean,5.0 (7 ratings),"Spring greens; tomatoes, cucumbers, pepperoncini; dilly lemon"
Mongolian Beef Ramen Noodles,https://www.jocooks.com/recipes/mongolian-beef-ramen-noodles/,Jo Cooks,73,Entree,Asian,4.65 (254 ratings),Glossy sticky Mongolian sauce; ramen noodles
One Pot Beef Ragu Pasta,https://www.jocooks.com/recipes/one-pot-beef-ragu-pasta/,Jo Cooks,73,Entree,Italian,4.5 (81 ratings),"Rich, meaty; one-pot; 35 min"
Beef and Pepper Pasta Skillet,https://www.jocooks.com/recipes/beef-and-pepper-pasta-skillet/,Jo Cooks,73,Entree,Italian,,"Steak bites, veggies, creamy tomato sauce; mozzarella"
Chicken Fajita Pasta,https://www.jocooks.com/recipes/chicken-fajitas-pasta/,Jo Cooks,73,Entree,Latin/South American,4.43 (28 ratings),One-pot; hearty; fajita flavors in pasta
Chicken Pot Pie Pasta (One Pot),https://www.jocooks.com/recipes/one-pot-creamy-chicken-pot-pie-pasta/,Jo Cooks,73,Entree,American,4.67 (39 ratings),Chicken pot pie in pasta form; creamy; one-pot
Lemony Chicken Piccata Pasta,https://www.foodiecrush.com/chicken-piccata-pasta/,Foodie Crush,72,Entree,Italian,4.73 (112 ratings),Lemon-caper-butter sauce; linguine; light and snappy
Easy 20-Minute Chicken Piccata,https://www.foodiecrush.com/easy-chicken-piccata/,Foodie Crush,72,Entree,Italian,4.38 (249 ratings),Classic Italian; lemon caper butter; quick weeknight
Creamy Salmon Pasta with Asparagus,https://www.foodiecrush.com/creamy-pasta-salmon-asparagus/,Foodie Crush,72,Entree,American,4.2 (181 ratings),Parmesan cream sauce; bowtie pasta; 30 min
Rich and Creamy Salmon Pasta,https://littlesunnykitchen.com/salmon-pasta/,Little Sunny Kitchen,75,Entree,Italian,5.0 (26 ratings),Pan-seared salmon; parmesan cream sauce; 30 min skillet
Creamy Tuscan Salmon,https://littlesunnykitchen.com/tuscan-salmon/,Little Sunny Kitchen,75,Entree,Italian,5.0 (42 ratings),Sun-dried tomato sauce; flaky salmon; garlicky
Marry Me Chicken (Little Sunny Kitchen),https://littlesunnykitchen.com/marry-me-chicken/,Little Sunny Kitchen,75,Entree,Italian,4.96 (2598 ratings),Creamy; sun-dried tomato; juicy; popular
Rasta Pasta with Caribbean Jerk Chicken,https://littlesunnykitchen.com/rasta-pasta/,Little Sunny Kitchen,75,Entree,Latin/South American,4.95 (254 ratings),Jerk chicken; creamy; bell peppers; 30 min
One Pot Parmesan Chicken Pasta,https://littlesunnykitchen.com/parmesan-chicken-pasta/,Little Sunny Kitchen,75,Entree,Italian,4.97 (30 ratings),Decadent garlic parmesan sauce; one-pot
Chicken Pesto Tortellini,https://diethood.com/chicken-pesto-tortellini/,Diethood,81,Entree,Italian,5.0 (5 ratings),Cheesy tortellini + chicken + basil pesto; quick family dinner
Creamy Buffalo Chicken Pasta,https://diethood.com/buffalo-chicken-pasta/,Diethood,81,Entree,American,5.0 (4 ratings),Rotisserie chicken; buffalo sauce; spaghetti; feta
Chicken Piccata Pasta,https://diethood.com/chicken-piccata-pasta/,Diethood,81,Entree,Italian,4.56 (9 ratings),Lemon caper sauce; tender chicken; bright citrus
Chicken Bruschetta Pasta,https://diethood.com/chicken-bruschetta-pasta/,Diethood,81,Entree,Italian,5.0 (2 ratings),Zesty tomatoes; balsamic sauce; tender chicken
Goulash (Classic One-Pan),https://diethood.com/goulash-recipe/,Diethood,81,Entree,American,5.0 (1 rating),Ground beef; tomatoes; pasta; classic comfort
Authentic Beef and Broccoli,https://www.madewithlau.com/recipes/beef-broccoli,Made With Lau,71,Entree,Asian,4.9 (818 ratings),Chinese Chef's authentic Cantonese method
Authentic Mongolian Beef,https://www.madewithlau.com/recipes/mongolian-beef,Made With Lau,71,Entree,Asian,4.9 (818 ratings),Dad's recipe; sticky sauce; James Beard Award lineage
Authentic Sesame Chicken,https://www.madewithlau.com/recipes/sesame-chicken,Made With Lau,71,Entree,Asian,4.9 (818 ratings),Authentic Chinese technique; crispy sesame coating
Authentic Beef Lo Mein,https://www.madewithlau.com/recipes/beef-lo-mein,Made With Lau,71,Entree,Asian,4.9 (818 ratings),Authentic Cantonese noodle dish; home chef technique
Authentic Beef Chow Fun,https://www.madewithlau.com/recipes/beef-chow-fun,Made With Lau,71,Entree,Asian,3.2 (23 ratings),Wide rice noodles; wok-style; traditional Cantonese
Authentic Chicken Stir Fry,https://www.madewithlau.com/recipes/chicken-stir-fry,Made With Lau,71,Entree,Asian,4.9 (818 ratings),Chinese Chef secrets; authentic stir fry technique
One-Pot Rice and Veggies with Chickpeas & Dilly Tahini,https://thefirstmess.com/2024/03/13/one-pot-rice-and-veggies-chickpeas-dilly-tahini/,The First Mess,74,Entree,Middle Eastern,4.95 (17 ratings),"One-pot vegan; spices, jasmine rice; creamy dill tahini; 10 min active"
"Creamy White Bean Soup with Kale, Rosemary & Lemon",https://thefirstmess.com/creamy-white-bean-soup/,The First Mess,74,Entree,Mediterranean,4.99 (301 ratings),Most popular on site; pureed base; kale; vegan
Lemon Dill Baked Salmon,https://www.inspiredtaste.net/149/moms-oven-poached-salmon/,Inspired Taste,67,Entree,American,,"Gentle baking; moist, flakey, tender; easy"
Easy Avocado Pasta,https://www.inspiredtaste.net/12010/avocado-pasta-recipe/,Inspired Taste,67,Entree,American,,Creamy avocado sauce; no butter or cream; vegetarian
Sesame Crusted Salmon Bowls,https://foolproofliving.com/sesame-crusted-salmon/,Foolproof Living,75,Entree,Asian,5.0 (3 ratings),"30 min; sesame crust; rice bowl; avocado, edamame; spicy mayo"
15-Minute Chicken Pasta,https://www.servingdumplings.com/recipe/15-minute-chicken-pasta/,Serving Dumplings,87,Entree,Italian,5.0 (1 rating),Creamy garlic tomato sauce; pasta water technique; go-to weeknight
Creamy Pesto Chicken Pasta,https://www.servingdumplings.com/recipe/creamy-pesto-chicken-pasta/,Serving Dumplings,87,Entree,Italian,5.0 (8 ratings),Pesto + Alfredo hybrid sauce; crispy seared chicken; parmesan
Piri Piri Chicken Pasta,https://www.servingdumplings.com/recipe/piri-piri-chicken-pasta/,Serving Dumplings,87,Entree,Other,4.1 (11 ratings),"Bold, spicy piri piri; 20 min; Portuguese-inspired"
Creamy Red Pesto Chicken,https://www.servingdumplings.com/recipe/creamy-garlic-red-pesto-chicken/,Serving Dumplings,87,Entree,Italian,4.68 (31 ratings),Creamy garlic red pesto sauce; weeknight
Thai Coconut Curry Dumpling Soup,https://www.servingdumplings.com/recipe/thai-coconut-curry-dumpling-soup/,Serving Dumplings,87,Entree,Asian,4.96 (23 ratings),15 min; fragrant ultra-creamy; dumplings; versatile
Marry Me Pasta (Vegan),https://jessicainthekitchen.com/marry-me-pasta/,Jessica in the Kitchen,72,Entree,Italian,5.0 (4 ratings),20 min vegan dinner; sun-dried tomatoes; creamy sauce
Vegan Thai Red Curry with Tofu,https://jessicainthekitchen.com/vegan-thai-red-curry/,Jessica in the Kitchen,72,Entree,Asian,5.0 (190 ratings),"Rich, bold Thai flavors; crowd-pleaser; vegan"
Creamy Vegan Coconut Chickpea Curry,https://jessicainthekitchen.com/coconut-chickpea-curry/,Jessica in the Kitchen,72,Entree,Indian,5.0 (1087 ratings),Best curry; one-pot; meal prep; budget-friendly; vegan
Chickpea Tikka Masala (Vegan),https://jessicainthekitchen.com/chickpea-tikka-masala-vegan/,Jessica in the Kitchen,72,Entree,Indian,4.99 (127 ratings),Easy vegan take on classic; indulgent while healthy
Red Lentil Curry,https://jessicainthekitchen.com/red-lentil-curry/,Jessica in the Kitchen,72,Entree,Indian,5.0 (55 ratings),One-pot; super filling; easy plant-based protein
Slow Roasted Tomato and Chickpea Pasta,https://wanderingchickpea.com/2023/08/21/slow-roasted-tomato-and-chickpea-pasta/,Wandering Chickpea,66,Entree,Mediterranean,4.6 (154 reviews),Hands-off; jammy cherry tomatoes; chickpeas; vegetarian
Chickpea and Dumpling Soup,https://wanderingchickpea.com/2021/12/21/chickpea-and-dumpling-soup/,Wandering Chickpea,66,Entree,American,4.8 (27 reviews),Plant-based chicken & dumplings; no butter/cream; 45 min
Roasted Cauliflower Curry,https://wanderingchickpea.com/roasted-cauliflower-curry/,Wandering Chickpea,66,Entree,Indian,4.4 (8 ratings),Oven-roasted cauliflower; creamy coconut curry; chickpea option
Chicken Alfredo Pasta,https://familystylefood.com/chicken-alfredo-pasta/,Familystyle Food,71,Entree,Italian,4.94 (30 ratings),Restaurant-style; luxe creamy sauce; golden chicken; 25 min
10-Minute Chicken Pesto Pasta,https://familystylefood.com/chicken-pesto-pasta/,Familystyle Food,71,Entree,Italian,4.97 (27 ratings),Only 10 min cooking; silky pesto sauce; parmesan
Spinach Chicken Pasta Bake,https://familystylefood.com/spinach-chicken-and-pasta-al-forno/,Familystyle Food,71,Entree,Italian,4.83 (34 ratings),Creamy; gooey cheese; one-dish dinner; pasta al forno
Chicken Orzo Skillet with Mozzarella,https://familystylefood.com/chicken-orzo-skillet/,Familystyle Food,71,Entree,Italian,5.0 (8 ratings),One-skillet; orzo + chicken + spinach + tomatoes; cheese
Italian Pan Fried Chicken,https://anitalianinmykitchen.com/italian-fried-chicken/,An Italian in My Kitchen,82,Entree,Italian,4.9 (19 ratings),Quick; pan-fried in olive oil; Italian spices
Chicken Boscaiola (Creamy Mushroom),https://anitalianinmykitchen.com/chicken-boscaiola/,An Italian in My Kitchen,82,Entree,Italian,5.0 (8 ratings),Creamy mushroom Italian chicken; deliciously spiced
Italian Chicken and Tomato Skillet with Roasted Peppers,https://anitalianinmykitchen.com/italian-chicken-and-tomato-skillet-with-roasted-peppers/,An Italian in My Kitchen,82,Entree,Italian,4.67 (12 ratings),"Flavor-packed; juicy chicken; tomatoes, roasted peppers"
Italian Herb Roasted Chicken and Potatoes,https://anitalianinmykitchen.com/italian-herb-roasted-chicken/,An Italian in My Kitchen,82,Entree,Italian,4.6 (5 ratings),Simple; Italian spices; moist; one-pan roast
Mediterranean Salmon and Spaghetti,https://thehappyfoodie.co.uk/recipes/mediterranean-salmon-and-spaghetti/,The Happy Foodie,81,Entree,Mediterranean,5.0 (2 ratings),Quick; healthy; Mediterranean flavors; satisfying
Creamy Salmon Pasta with Chilli Lemon,https://thehappyfoodie.co.uk/recipes/creamy-salmon-pasta-with-a-chilli-lemon-kick/,The Happy Foodie,81,Entree,Mediterranean,,Chilli lemon kick; creamy; quick midweek meal
Mary Berry's Lemon and Caper Salmon Linguine,https://thehappyfoodie.co.uk/recipes/mary-berrys-lemon-and-caper-salmon-linguine/,The Happy Foodie,81,Entree,Mediterranean,4.9 (10 ratings),Capers + lemon cuts through creaminess; quick supper
Curry Red Lentil Stew with Kale & Chickpeas,https://simple-veganista.com/curry-red-lentil-stew-with-kale/,The Simple Veganista,81,Entree,Indian,5.0 (22 reviews),Indian spiced; kale + chickpeas; serve over rice; vegan
Chickpea Tikka Masala (Simple Veganista),https://simple-veganista.com/chickpea-tikka-masala/,The Simple Veganista,81,Entree,Indian,5.0 (56 reviews),One-pan; lusciously creamy; easy simple ingredients; vegan
Chana Masala,https://simple-veganista.com/chana-masala/,The Simple Veganista,81,Entree,Indian,5.0 (6 reviews),30 min; serve over basmati or quinoa; vegan; gluten-free
Spicy Red Lentil Dal,https://simple-veganista.com/spicy-da/,The Simple Veganista,81,Entree,Indian,5.0 (14 reviews),Quick + easy dal; spicy; vegan protein-rich
Jamaican Curry Chicken,https://www.saveur.com/article/Recipes/Curried-Chicken/,Saveur,81,Entree,Latin/South American,4.7 (41 ratings),"Rich coconut sauce; allspice, ginger; Jamaican classic"
Telangana Chicken (Curried Chicken Stew),https://www.saveur.com/article/recipes/telangana-chicken-telangana-style-curried-chicken-stew/,Saveur,81,Entree,Indian,,"South Indian; coconut, lime, garlic, cardamom marinade"
Cardamom Chicken Curry,https://www.saveur.com/article/Recipes/Cardamom-Chicken-Curry/,Saveur,81,Entree,Indian,,Green + black cardamom; author Monica Bhide
Garlic Butter Pasta with Crispy Salmon,https://food52.com/recipes/82839-garlic-butter-pasta-with-crispy-salmon,Food52,72,Entree,American,3.2 (19 ratings),Canned salmon + capers + artichokes; pantry; under 20 min
"Creamy Pasta with Salmon, Asparagus & Peas",https://food52.com/recipes/58509-creamy-pasta-with-salmon-asparagus-peas,Food52,72,Entree,Mediterranean,4.5 (37 ratings),Crème fraîche + brown butter; tarragon; seasonal
Brown Butter Salmon Pasta with Hazelnut-Caper Breadcrumbs,https://food52.com/recipes/87708-brown-butter-salmon-pasta-with-hazelnut-caper-breadcrumbs,Food52,72,Entree,American,4.7 (47 ratings),Fast weeknight; asparagus; lemony; canned or fresh salmon
Fettuccine with Smoked Salmon and Dill Cream Sauce,https://food52.com/recipes/9148-fettuccine-with-a-smoked-salmon-and-dill-cream-sauce,Food52,72,Entree,American,4.1 (28 ratings),"Creamy, smoky; dill; 10 min; elegant"
Vegan Orange Chicken,https://www.thissavoryvegan.com/vegan-orange-chicken/,This Savory Vegan,75,Entree,Asian,5.0 (14 ratings),Soy curls + homemade sauce; crispy; better than takeout; vegan
Vegan Bang Bang Tofu,https://www.thissavoryvegan.com/vegan-bang-bang-tofu/,This Savory Vegan,75,Entree,Asian,5.0 (20 ratings),Spicy-creamy sauce; served over rice; flavor bomb; vegan
Tofu Noodle Stir-Fry,https://www.thissavoryvegan.com/tofu-noodle-stir-fry/,This Savory Vegan,75,Entree,Asian,5.0 (12 ratings),Crispy tofu; tons of veggies; homemade stir-fry sauce; vegan
Sticky Garlic Tofu,https://www.thissavoryvegan.com/sticky-garlic-tofu/,This Savory Vegan,75,Entree,Asian,5.0 (1 rating),Agave garlic sauce; broccolini stir-fry; vegan; quick
Methi Matar Malai (Fenugreek Pea Curry),https://ministryofcurry.com/methi-matar-malai/,Ministry of Curry,75,Entree,Indian,4.1 (3 ratings),Creamy North Indian curry; fenugreek + peas; vegetarian
Easy Palak Paneer (Spinach Paneer Curry),https://ministryofcurry.com/palak-paneer/,Ministry of Curry,75,Entree,Indian,4.78 (9 ratings),15-min Instant Pot; spinach + paneer; vegetarian restaurant favorite
Andhra Chicken Curry (Kodi Kura),https://www.indianhealthyrecipes.com/andhra-chicken-curry-recipe-kodi-kura-with-step-by-step-pictures/,Swasthi's Recipes,70,Entree,Indian,4.99 (61 ratings),Spicy Andhra-style; traditional South Indian technique
Chicken Kurma (South Indian),https://www.indianhealthyrecipes.com/chicken-kurma-recipe-chicken-curry/,Swasthi's Recipes,70,Entree,Indian,4.99 (61 ratings),Coconut + whole spices; South Indian traditional home recipe
Paleo Carne Asada Bowl,https://foodbymars.com/paleo-carne-asada-bowl/,Food By Mars,88,Entree,Latin/South American,4.21 (88 ratings),"Whole30, AIP-friendly"
Baked Chicken Tenders with Peachy Dipping Sauce,https://foodbymars.com/baked-chicken-tenders-paleo-aip-nut-free-egg-free-dairy-free/,Food By Mars,88,Entree,American,3.92 (25 ratings),"Paleo, AIP, nut-free, egg-free, dairy-free"
One Pan Chicken and Veggies with Bacon,https://foodbymars.com/one-pan-chicken-and-veggies-with-bacon-whole30-paleo-aip/,Food By Mars,88,Entree,American,4.19 (54 ratings),"Whole30, Paleo, AIP-friendly"
AIP Salmon Cakes,https://foodbymars.com/simple-salmon-cakes-aip-paleo-low-fodmap/,Food By Mars,88,Entree,American,4.09 (134 ratings),"AIP, Paleo, egg-free, Low FODMAP; allium-free potential"
Spicy Chicken Pasta,https://www.mob.co.uk/recipes/spicy-chicken-pasta,Mob,88,Entree,Italian,4.4 (15 ratings),
Hot Chicken Katsu Curry,https://www.mob.co.uk/recipes/hot-chicken-katsu-curry,Mob,88,Entree,Asian,4.6 (59 ratings),
Chicken Tikka Masala,https://www.mob.co.uk/recipes/quick-chicken-tikka-masala,Mob,88,Entree,Indian,4.4 (26 ratings),Quick version
Tuscan Chicken,https://www.mob.co.uk/recipes/tuscan-chicken-recipe,Mob,88,Entree,Italian,4.8 (25 ratings),
Salmon Pasta,https://www.mob.co.uk/recipes/salmon-pasta-recipe,Mob,88,Entree,Italian,4.5 (25 ratings),"Creamy, light spring-summer prep"
Sizzle Butter Salmon with Raita Rice,https://www.mob.co.uk/recipes/sizzle-butter-salmon,Mob,88,Entree,Asian,4.8 (33 ratings),Curry butter
Air Fryer Salmon Tacos with Mango Chipotle Glaze,https://www.mob.co.uk/recipes/salmon-tacos,Mob,88,Entree,Latin/South American,4.8 (70 ratings),20-minute recipe
Steak Tacos with Burnt Tomato Salsa,https://www.mob.co.uk/recipes/steak-tacos-with-burnt-tomato-salsa,Mob,88,Entree,Latin/South American,4.6 (17 ratings),
Teriyaki Beef Tacos,https://www.mob.co.uk/recipes/teriyaki-beef-tacos,Mob,88,Entree,Asian,4.5 (15 ratings),Fusion dish
Tacos de Carne Asada,https://www.mob.co.uk/recipes/juicy-steak-tacos,Mob,88,Entree,Latin/South American,4.5 (15 ratings),"Classic toppings, refried beans"
Drunken Noodles,https://www.mob.co.uk/recipes/drunken-noodles,Mob,88,Entree,Asian,4.6 (76 ratings),Thai-inspired
Curry Fried Chicken,https://www.mob.co.uk/recipes/curry-fried-chicken,Mob,88,Entree,Asian,3.2 (27 ratings),
"Baked Salmon in Foil with Garlic, Rosemary and Thyme",https://www.paleorunningmomma.com/baked-salmon-in-foil-garlic-rosemary-thyme-whole30/,Paleo Running Momma,86,Entree,American,4.57 (206 ratings),"Whole30, Keto"
Ground Beef Stir Fry,https://www.paleorunningmomma.com/ground-beef-stir-fry-paleo-whole30/,Paleo Running Momma,86,Entree,Asian,4.66 (87 ratings),"Paleo, Whole30; 20-min"
Tuscan Garlic Salmon,https://www.paleorunningmomma.com/tuscan-garlic-salmon-whole30-paleo/,Paleo Running Momma,86,Entree,Italian,4.66 (72 ratings),"Whole30, Paleo, dairy-free cream sauce"
Garlic Butter Salmon and Veggies,https://www.paleorunningmomma.com/garlic-butter-salmon-and-veggies-whole30/,Paleo Running Momma,86,Entree,American,4.72 (32 ratings),"Whole30, one-pan"
One Skillet Greek Salmon,https://www.paleorunningmomma.com/one-skillet-greek-salmon-paleo-whole30/,Paleo Running Momma,86,Entree,Mediterranean,5.0 (3 ratings),"Paleo, Whole30"
Honey Garlic Salmon,https://www.paleorunningmomma.com/honey-garlic-salmon-paleo/,Paleo Running Momma,86,Entree,Asian,4.68 (56 ratings),20-min; serve over cauliflower rice
Paleo Beef Stew,https://www.paleorunningmomma.com/paleo-beef-stew-whole30-low-carb/,Paleo Running Momma,86,Entree,American,4.65 (101 ratings),"Whole30, low-carb"
Paleo Pork Tenderloin with Teriyaki Sauce,https://www.paleorunningmomma.com/paleo-pork-tenderloin-teriyaki-whole30/,Paleo Running Momma,86,Entree,Asian,4.68 (87 ratings),"Whole30, 30-min"
Turkey Sausage Spaghetti Squash Boats,https://www.paleorunningmomma.com/spaghetti-squash-boats-turkey-sausage-paleo-whole30/,Paleo Running Momma,86,Entree,American,4.78 (9 ratings),"Paleo, Whole30, low-carb"
Creamy Tuscan Chicken,https://www.paleorunningmomma.com/creamy-tuscan-chicken-paleo-whole30-keto/,Paleo Running Momma,86,Entree,Italian,4.58 (1199 ratings),"Paleo, Whole30, Keto; dairy-free cream sauce"
Chicken Stir Fry with Veggies and Garlic Sauce,https://www.paleorunningmomma.com/chicken-stir-fry-garlic-sauce-paleo-whole30/,Paleo Running Momma,86,Entree,Asian,4.66 (66 ratings),"Paleo, Whole30"
Easy Paleo Low FODMAP Meatloaf,https://www.paleorunningmomma.com/easy-paleo-low-fodmap-meatloaf/,Paleo Running Momma,86,Entree,American,4.44 (71 ratings),"Allium-free, gluten-free, Whole30"
Easy Paleo Turkey Meatballs with Apples and Herbs,https://www.paleorunningmomma.com/paleo-turkey-meatballs-apples-herbs/,Paleo Running Momma,86,Entree,American,4.7 (10 ratings),"Whole30, 20-min one-pan"
Paleo Chipotle Turkey Meatloaf,https://www.paleorunningmomma.com/paleo-chipotle-turkey-meatloaf-whole30/,Paleo Running Momma,86,Entree,American,4.43 (33 ratings),"Whole30, chipotle ketchup"
Chicken Parmesan Pasta,https://www.thecookierookie.com/chicken-parmesan-pasta-skillet/,The Cookie Rookie,86,Entree,Italian,4.89 (70 ratings),"One-pan, 30-min"
Chicken Fajita Pasta,https://www.thecookierookie.com/chicken-fajita-pasta/,The Cookie Rookie,86,Entree,Latin/South American,4.79 (14 ratings),"Creamy, cheesy"
Bruschetta Chicken Pasta,https://www.thecookierookie.com/bruschetta-chicken-pasta/,The Cookie Rookie,86,Entree,Italian,5.0 (3 ratings),"Fresh tomatoes, basil, garlic"
Beef Bolognese,https://www.thecookierookie.com/easy-beef-bolognese-recipe/,The Cookie Rookie,86,Entree,Italian,4.37 (60 ratings),Classic meat sauce
Beef Ragu,https://www.thecookierookie.com/beef-ragu/,The Cookie Rookie,86,Entree,Italian,4.89 (18 ratings),Slow-cooked beef chuck in red wine sauce
Beef Stir Fry,https://www.thecookierookie.com/beef-stir-fry/,The Cookie Rookie,86,Entree,Asian,4.63 (29 ratings),"One-pan, from-scratch sauce"
Filet Mignon,https://www.thecookierookie.com/filet-mignon/,The Cookie Rookie,86,Entree,American,5.0 (1 rating),Foolproof technique
Chicken Fried Steak with Gravy,https://www.thecookierookie.com/chicken-fried-steak-with-gravy/,The Cookie Rookie,86,Entree,American,4.67 (59 ratings),Southern comfort classic
Beer Battered Fish Tacos,https://www.thecookierookie.com/beer-battered-fish-tacos/,The Cookie Rookie,86,Entree,American,3.8 (21 ratings),Baja-style
Creamy Chicken Spaghetti,https://www.thecookierookie.com/creamy-chicken-spaghetti/,The Cookie Rookie,86,Entree,American,4.47 (117 ratings),Baked casserole
Marry Me Chicken Pasta,https://www.thegoodbite.co.uk/recipes/marry-me-chicken-pasta/,The Good Bite,86,Entree,Italian,,One-pan; cross-protein swap potential
Creamy Chipotle Chicken Pasta,https://www.thegoodbite.co.uk/recipes/creamy-chipotle-chicken-pasta/,The Good Bite,86,Entree,American,4.5 (40 ratings),High protein; meal prep friendly
Creamy Harissa Chicken Pasta,https://www.thegoodbite.co.uk/recipes/creamy-harrisa-chicken-pasta/,The Good Bite,86,Entree,Middle Eastern,,"Harissa, mascarpone"
Creamy Cajun Chicken Pasta,https://www.thegoodbite.co.uk/recipes/creamy-cajun-chicken-pasta-2/,The Good Bite,86,Entree,American,,
Beef & Sweet Red Pepper Rigatoni Bake,https://www.thegoodbite.co.uk/recipes/beef-sweet-red-pepper-rigatoni-bake/,The Good Bite,86,Entree,Italian,4.9 (11 ratings),Baked pasta
Peanut Chilli Beef Noodles,https://www.thegoodbite.co.uk/recipes/peanut-chilli-beef-noodles/,The Good Bite,86,Entree,Asian,,
Crispy Chilli Beef Noodles,https://www.thegoodbite.co.uk/recipes/crispy-chilli-beef-noodles/,The Good Bite,86,Entree,Asian,4.1 (28 ratings),Meal prep version available
Peanut Chicken Rice Bake,https://www.thegoodbite.co.uk/recipes/peanut-chicken-rice-bake/,The Good Bite,86,Entree,Asian,,"Peanut sauce, coconut milk"
Shawarma Chicken Rice Bake,https://www.thegoodbite.co.uk/recipes/shawarma-chicken-rice-bake/,The Good Bite,86,Entree,Middle Eastern,,"Fluffy yellow rice, garlic sauce"
Satay Chicken Rice Bake,https://www.thegoodbite.co.uk/recipes/satay-chicken-rice-bake/,The Good Bite,86,Entree,Asian,4.2 (1 rating),"30-min, high protein"
Coconut Chicken Curry,https://www.thegoodbite.co.uk/recipes/coconut-chicken-curry/,The Good Bite,86,Entree,Asian,,"Pan-seared chicken, aromatic coconut curry sauce"
Classic Beef Stew with Creamy Cheesy Mash,https://www.thegoodbite.co.uk/recipes/classic-beef-stew-and-creamy-cheesy-mash/,The Good Bite,86,Entree,American,,
Easy Thai Red Noodles,https://www.thegoodbite.co.uk/recipes/easy-thai-red-noodles/,The Good Bite,86,Entree,Asian,,"Shredded chicken, 20-min"
Whole Roasted Fish with Citrus & Herbs,https://eye-swoon.com/blogs/recipes/whole-roasted-fish-with-citrus-herbs,Eye Swoon,85,Entree,Mediterranean,3.2 (41 ratings),
"Grilled White Fish With a Tomato, Corn, and Basil Salad",https://eye-swoon.com/recipes/grilled-summer-fish,Eye Swoon,85,Entree,American,,Summer recipe
Paccheri With Pork Shoulder Ragú and Creamy Goat Cheese,https://eye-swoon.com/blogs/eyeswoon-unplugged/paccheri-with-pork-shoulder-ragu-and-creamy-goat-cheese,Eye Swoon,85,Entree,Italian,,Slow-cooked pork shoulder
Pork Shoulder Ragu,https://eye-swoon.com/blogs/eyeswoon-unplugged/eyeswoon-unplugged-pork-shoulder-ragu,Eye Swoon,85,Entree,Italian,,
Simple Creamy Salmon Pasta,https://justinesnacks.com/simple-creamy-salmon-pasta/,Justine Snacks,85,Entree,Italian,4.0 (2 ratings),"20-min; garlic, lemon cream sauce"
Four Ingredient Salmon Nuggets,https://justinesnacks.com/four-ingredient-salmon-nuggets/,Justine Snacks,85,Entree,American,5.0 (3 ratings),"Gluten-free, meal prep"
Citrus Salmon,https://justinesnacks.com/citrus-salmon/,Justine Snacks,85,Entree,Mediterranean,,Slow-roasted; under 20 min
Garlic Scape Curry (Curried Salmon),https://justinesnacks.com/garlic-scape-curry/,Justine Snacks,85,Entree,Asian,5.0 (1 rating),"Quick, healthy; cross-protein swap potential"
Tofu Cutlets with Avocado & Citrus Sprout Salad,https://justinesnacks.com/tofu-cutlets-with-avocado-citrus-sprout-salad/,Justine Snacks,85,Entree,American,5.0 (1 rating),Vegetarian
