Recipe Title,URL,Blogger Name,Alignment Score,Meal Type,Cuisine Style,Rating,Notes,V,V Mod,V Mod Notes,Vg,Vg Mod,Vg Mod Notes,GF,GF Mod,GF Mod Notes,DF,DF Mod,DF Mod Notes,LH,LH Mod,LH Mod Notes,LF,LF Mod,LF Mod Notes,AIP,AIP Mod,AIP Mod Notes,K,K Mod,K Mod Notes,Protein,Entree Type
Chicken and Tomatoes Forever,https://www.alisoneroman.com/newsletters/chicken-and-tomatoes-forever/,Alison Roman,85.0,Entree,Mediterranean,2.8 (16 ratings),Quick sear + gentle braise; vinegar-tomato bath; spicy,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Quick Lamb Ragù,https://www.alisoneroman.com/recipes/quick-lamb-ragu/,Alison Roman,85.0,Entree,Italian,2.8 (50 ratings),Quick weeknight ragu; lamb; pasta pairing,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Soup/Stew
Best Ever Grilled BBQ Chicken,https://playswellwithbutter.com/grilled-bbq-chicken-recipe/,Plays Well With Butter,84.0,Entree,American,4.8 (23 reviews),"Quick BBQ marinade + dry rub + indirect grilling; tender, juicy",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Grilled
BBQ Chicken Bowls with Grilled Veggies & Sweet Potatoes,https://playswellwithbutter.com/bbq-chicken-bowls/,Plays Well With Butter,84.0,Entree,American,5.0 (6 reviews),Juicy BBQ chicken; char-grilled veggies; bowl format,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Bowl
Fall-Apart Tender Braised Beef Chili,https://playswellwithbutter.com/braised-beef-chili/,Plays Well With Butter,84.0,Entree,American,5.0 (8 reviews),Stew meat or chuck roast; smoky spices; slow braise,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Soup/Stew
Slow Cooker Salsa Verde Chicken,https://allthehealthythings.com/slow-cooker-salsa-verde-chicken/,All the Healthy Things,84.0,Entree,Latin/South American,5.0 (3 reviews),Set-it-forget-it; versatile for tacos/bowls; Whole30 adaptable,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Slow-Cooked
Salsa Chicken (Crock Pot),https://allthehealthythings.com/salsa-chicken/,All the Healthy Things,84.0,Entree,Latin/South American,5.0 (1 review),"Easy; use for tacos, burritos, salads; dairy-free",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Lentil Coconut Curry,https://www.veganricha.com/lentil-coconut-curry/,Vegan Richa,80.0,Entree,Indian,5.0 (35 ratings),30 min; one-pan; no tomato; rich & creamy; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Lentil Chickpea Stew with Sun-Dried Tomato,https://www.veganricha.com/lentil-chickpea-stew/,Vegan Richa,80.0,Entree,Mediterranean,4.94 (98 ratings),1-pan; Italian herbs; vegan; adaptable to curry,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Chickpea Lentil Quinoa Spinach Stew,https://www.veganricha.com/chickpea-lentil-quinoa-spinach-stew/,Vegan Richa,80.0,Entree,Indian,5.0 (46 ratings),1-pan; Indian curry flavors; 10 min active; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Pumpkin Chickpea Curry,https://www.veganricha.com/pumpkin-chickpea-curry/,Vegan Richa,80.0,Entree,Indian,4.92 (24 ratings),Easy; vegan; pumpkin + chickpeas; coconut milk,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Curry Leaf Pepper Chickpeas,https://www.veganricha.com/curry-leaf-pepper-chickpeas/,Vegan Richa,80.0,Entree,Indian,5.0 (7 ratings),South Indian coconut pepper curry leaf sauce; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Sheet Pan Salmon with Honey Garlic & Brussels Sprouts,https://www.howsweeteats.com/2018/03/sheet-pan-salmon-brussels/,How Sweet Eats,78.0,Entree,American,4.97 (232 ratings),3 additional ingredients; very easy sheet pan meal,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Sheet Pan
Salmon Aglio e Olio with Lemon Parmesan Orzo,https://www.howsweeteats.com/2025/09/salmon-aglio-olio/,How Sweet Eats,78.0,Entree,Italian,5.0 (1 rating),Garlicky salmon; lemon parmesan orzo side; weeknight,,,,,,,,,,,,,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Salmon,Pasta
Crispy Chicken Mediterranean Salad,https://www.howsweeteats.com/2023/10/crispy-chicken-mediterranean-salad/,How Sweet Eats,78.0,Entree,Mediterranean,5.0 (7 ratings),"Spring greens; tomatoes, cucumbers, pepperoncini; dilly lemon",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Salad
Mongolian Beef Ramen Noodles,https://www.jocooks.com/recipes/mongolian-beef-ramen-noodles/,Jo Cooks,73.0,Entree,Asian,4.65 (254 ratings),Glossy sticky Mongolian sauce; ramen noodles,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Noodles
One Pot Beef Ragu Pasta,https://www.jocooks.com/recipes/one-pot-beef-ragu-pasta/,Jo Cooks,73.0,Entree,Italian,4.5 (81 ratings),"Rich, meaty; one-pot; 35 min",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Pasta
Beef and Pepper Pasta Skillet,https://www.jocooks.com/recipes/beef-and-pepper-pasta-skillet/,Jo Cooks,73.0,Entree,Italian,NR,"Steak bites, veggies, creamy tomato sauce; mozzarella",,,,,,,,,,,1,Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Beef,Pasta
Chicken Fajita Pasta,https://www.jocooks.com/recipes/chicken-fajitas-pasta/,Jo Cooks,73.0,Entree,Latin/South American,4.43 (28 ratings),One-pot; hearty; fajita flavors in pasta,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Chicken Pot Pie Pasta (One Pot),https://www.jocooks.com/recipes/one-pot-creamy-chicken-pot-pie-pasta/,Jo Cooks,73.0,Entree,American,4.67 (39 ratings),Chicken pot pie in pasta form; creamy; one-pot,,,,,,,,,,,1,Replace butter with olive oil.,,,,,1,Replace onion with the green tops of scallions.,,,,,,,Chicken,Pasta
Lemony Chicken Piccata Pasta,https://www.foodiecrush.com/chicken-piccata-pasta/,Foodie Crush,72.0,Entree,Italian,4.73 (112 ratings),Lemon-caper-butter sauce; linguine; light and snappy,,,,,,,,,,,1,Replace butter with olive oil. omit or replace cheese with a dairy-free alternative.,,,,,,,,,,,,,Chicken,Pasta
Easy 20-Minute Chicken Piccata,https://www.foodiecrush.com/easy-chicken-piccata/,Foodie Crush,72.0,Entree,Italian,4.38 (249 ratings),Classic Italian; lemon caper butter; quick weeknight,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Creamy Salmon Pasta with Asparagus,https://www.foodiecrush.com/creamy-pasta-salmon-asparagus/,Foodie Crush,72.0,Entree,American,4.2 (181 ratings),Parmesan cream sauce; bowtie pasta; 30 min,,,,,,,,,,,1,Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,,,,,,,,,Salmon,Pasta
Rich and Creamy Salmon Pasta,https://littlesunnykitchen.com/salmon-pasta/,Little Sunny Kitchen,75.0,Entree,Italian,5.0 (26 ratings),Pan-seared salmon; parmesan cream sauce; 30 min skillet,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Salmon,Pasta
Creamy Tuscan Salmon,https://littlesunnykitchen.com/tuscan-salmon/,Little Sunny Kitchen,75.0,Entree,Italian,5.0 (42 ratings),Sun-dried tomato sauce; flaky salmon; garlicky,0,0,,0,0,,1,0,,0,1,Sub cream → full-fat coconut cream for DF,0,0,,0,0,,0,0,,0,0,,Salmon,Entree
Marry Me Chicken (Little Sunny Kitchen),https://littlesunnykitchen.com/marry-me-chicken/,Little Sunny Kitchen,75.0,Entree,Italian,4.96 (2598 ratings),Creamy; sun-dried tomato; juicy; popular,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Rasta Pasta with Caribbean Jerk Chicken,https://littlesunnykitchen.com/rasta-pasta/,Little Sunny Kitchen,75.0,Entree,Latin/South American,4.95 (254 ratings),Jerk chicken; creamy; bell peppers; 30 min,,,,,,,,,,,1,Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
One Pot Parmesan Chicken Pasta,https://littlesunnykitchen.com/parmesan-chicken-pasta/,Little Sunny Kitchen,75.0,Entree,Italian,4.97 (30 ratings),Decadent garlic parmesan sauce; one-pot,,,,,,,,,,,,,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
Chicken Pesto Tortellini,https://diethood.com/chicken-pesto-tortellini/,Diethood,81.0,Entree,Italian,5.0 (5 ratings),Cheesy tortellini + chicken + basil pesto; quick family dinner,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Creamy Buffalo Chicken Pasta,https://diethood.com/buffalo-chicken-pasta/,Diethood,81.0,Entree,American,5.0 (4 ratings),Rotisserie chicken; buffalo sauce; spaghetti; feta,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. Use dairy-free cream cheese. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Chicken,Pasta
Chicken Piccata Pasta,https://diethood.com/chicken-piccata-pasta/,Diethood,81.0,Entree,Italian,4.56 (9 ratings),Lemon caper sauce; tender chicken; bright citrus,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Chicken Bruschetta Pasta,https://diethood.com/chicken-bruschetta-pasta/,Diethood,81.0,Entree,Italian,5.0 (2 ratings),Zesty tomatoes; balsamic sauce; tender chicken,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Goulash (Classic One-Pan),https://diethood.com/goulash-recipe/,Diethood,81.0,Entree,American,5.0 (1 rating),Ground beef; tomatoes; pasta; classic comfort,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,One-Pan
Authentic Beef and Broccoli,https://www.madewithlau.com/recipes/beef-broccoli,Made With Lau,71.0,Entree,Asian,4.9 (818 ratings),Chinese Chef's authentic Cantonese method,0,0,,0,0,,0,1,Sub soy sauce → tamari for GF,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Entree
Authentic Mongolian Beef,https://www.madewithlau.com/recipes/mongolian-beef,Made With Lau,71.0,Entree,Asian,4.9 (818 ratings),Dad's recipe; sticky sauce; James Beard Award lineage,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Entree
Authentic Sesame Chicken,https://www.madewithlau.com/recipes/sesame-chicken,Made With Lau,71.0,Entree,Asian,4.9 (818 ratings),Authentic Chinese technique; crispy sesame coating,0,0,,0,0,,0,1,Sub soy sauce → tamari for GF,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Authentic Beef Lo Mein,https://www.madewithlau.com/recipes/beef-lo-mein,Made With Lau,71.0,Entree,Asian,4.9 (818 ratings),Authentic Cantonese noodle dish; home chef technique,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Noodles
Authentic Beef Chow Fun,https://www.madewithlau.com/recipes/beef-chow-fun,Made With Lau,71.0,Entree,Asian,3.2 (23 ratings),Wide rice noodles; wok-style; traditional Cantonese,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Beef,Noodles
Authentic Chicken Stir Fry,https://www.madewithlau.com/recipes/chicken-stir-fry,Made With Lau,71.0,Entree,Asian,4.9 (818 ratings),Chinese Chef secrets; authentic stir fry technique,0,0,,0,0,,0,1,Sub soy sauce → tamari for GF,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Stir-Fry
One-Pot Rice and Veggies with Chickpeas & Dilly Tahini,https://thefirstmess.com/2024/03/13/one-pot-rice-and-veggies-chickpeas-dilly-tahini/,The First Mess,74.0,Entree,Middle Eastern,4.95 (17 ratings),"One-pot vegan; spices, jasmine rice; creamy dill tahini; 10 min active",1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,One-Pan
"Creamy White Bean Soup with Kale, Rosemary & Lemon",https://thefirstmess.com/creamy-white-bean-soup/,The First Mess,74.0,Entree,Mediterranean,4.99 (301 ratings),Most popular on site; pureed base; kale; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Lemon Dill Baked Salmon,https://www.inspiredtaste.net/149/moms-oven-poached-salmon/,Inspired Taste,67.0,Entree,American,NR,"Gentle baking; moist, flakey, tender; easy",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Roasted/Baked
Easy Avocado Pasta,https://www.inspiredtaste.net/12010/avocado-pasta-recipe/,Inspired Taste,67.0,Entree,American,NR,Creamy avocado sauce; no butter or cream; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Pasta,Pasta
Sesame Crusted Salmon Bowls,https://foolproofliving.com/sesame-crusted-salmon/,Foolproof Living,75.0,Entree,Asian,5.0 (3 ratings),"30 min; sesame crust; rice bowl; avocado, edamame; spicy mayo",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Bowl
15-Minute Chicken Pasta,https://www.servingdumplings.com/recipe/15-minute-chicken-pasta/,Serving Dumplings,87.0,Entree,Italian,5.0 (1 rating),Creamy garlic tomato sauce; pasta water technique; go-to weeknight,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,1,,,Chicken,Pasta
Creamy Pesto Chicken Pasta,https://www.servingdumplings.com/recipe/creamy-pesto-chicken-pasta/,Serving Dumplings,87.0,Entree,Italian,5.0 (8 ratings),Pesto + Alfredo hybrid sauce; crispy seared chicken; parmesan,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Chicken,Pasta
Piri Piri Chicken Pasta,https://www.servingdumplings.com/recipe/piri-piri-chicken-pasta/,Serving Dumplings,87.0,Entree,Other,4.1 (11 ratings),"Bold, spicy piri piri; 20 min; Portuguese-inspired",0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Pasta
Creamy Red Pesto Chicken,https://www.servingdumplings.com/recipe/creamy-garlic-red-pesto-chicken/,Serving Dumplings,87.0,Entree,Italian,4.68 (31 ratings),Creamy garlic red pesto sauce; weeknight,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Thai Coconut Curry Dumpling Soup,https://www.servingdumplings.com/recipe/thai-coconut-curry-dumpling-soup/,Serving Dumplings,87.0,Entree,Asian,4.96 (23 ratings),15 min; fragrant ultra-creamy; dumplings; versatile,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Marry Me Pasta (Vegan),https://jessicainthekitchen.com/marry-me-pasta/,Jessica in the Kitchen,72.0,Entree,Italian,5.0 (4 ratings),20 min vegan dinner; sun-dried tomatoes; creamy sauce,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Vegetarian,Pasta
Vegan Thai Red Curry with Tofu,https://jessicainthekitchen.com/vegan-thai-red-curry/,Jessica in the Kitchen,72.0,Entree,Asian,5.0 (190 ratings),"Rich, bold Thai flavors; crowd-pleaser; vegan",1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Creamy Vegan Coconut Chickpea Curry,https://jessicainthekitchen.com/coconut-chickpea-curry/,Jessica in the Kitchen,72.0,Entree,Indian,5.0 (1087 ratings),Best curry; one-pot; meal prep; budget-friendly; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Chickpea Tikka Masala (Vegan),https://jessicainthekitchen.com/chickpea-tikka-masala-vegan/,Jessica in the Kitchen,72.0,Entree,Indian,4.99 (127 ratings),Easy vegan take on classic; indulgent while healthy,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Entree
Red Lentil Curry,https://jessicainthekitchen.com/red-lentil-curry/,Jessica in the Kitchen,72.0,Entree,Indian,5.0 (55 ratings),One-pot; super filling; easy plant-based protein,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Slow Roasted Tomato and Chickpea Pasta,https://wanderingchickpea.com/2023/08/21/slow-roasted-tomato-and-chickpea-pasta/,Wandering Chickpea,66.0,Entree,Mediterranean,4.6 (154 reviews),Hands-off; jammy cherry tomatoes; chickpeas; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Pasta
Chickpea and Dumpling Soup,https://wanderingchickpea.com/2021/12/21/chickpea-and-dumpling-soup/,Wandering Chickpea,66.0,Entree,American,4.8 (27 reviews),Plant-based chicken & dumplings; no butter/cream; 45 min,,1,Use plant-based dairy alternatives.,1,,,,,,,1,Use a plant-based milk.,,,,,,,,,,,,,Chicken,Soup/Stew
Roasted Cauliflower Curry,https://wanderingchickpea.com/roasted-cauliflower-curry/,Wandering Chickpea,66.0,Entree,Indian,4.4 (8 ratings),Oven-roasted cauliflower; creamy coconut curry; chickpea option,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Chicken Alfredo Pasta,https://familystylefood.com/chicken-alfredo-pasta/,Familystyle Food,71.0,Entree,Italian,4.94 (30 ratings),Restaurant-style; luxe creamy sauce; golden chicken; 25 min,,,,,,,,,,,,,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
10-Minute Chicken Pesto Pasta,https://familystylefood.com/chicken-pesto-pasta/,Familystyle Food,71.0,Entree,Italian,4.97 (27 ratings),Only 10 min cooking; silky pesto sauce; parmesan,,,,,,,,,,,1,omit or replace cheese with a dairy-free alternative.,,,,,,,,,,,,,Chicken,Pasta
Spinach Chicken Pasta Bake,https://familystylefood.com/spinach-chicken-and-pasta-al-forno/,Familystyle Food,71.0,Entree,Italian,4.83 (34 ratings),Creamy; gooey cheese; one-dish dinner; pasta al forno,,,,,,,,,,,1,Replace butter with olive oil. Use full-fat coconut cream instead of heavy cream. omit or replace cheese with a dairy-free alternative.,,,,,1,Replace garlic with garlic-infused oil.,,,,,,,Chicken,Pasta
Chicken Orzo Skillet with Mozzarella,https://familystylefood.com/chicken-orzo-skillet/,Familystyle Food,71.0,Entree,Italian,5.0 (8 ratings),One-skillet; orzo + chicken + spinach + tomatoes; cheese,,,,,,,,,,,,,,,,,1,Replace garlic and onion with garlic-infused oil.,,,,,,,Chicken,Pasta
Italian Pan Fried Chicken,https://anitalianinmykitchen.com/italian-fried-chicken/,An Italian in My Kitchen,82.0,Entree,Italian,4.9 (19 ratings),Quick; pan-fried in olive oil; Italian spices,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Seared/Fried
Chicken Boscaiola (Creamy Mushroom),https://anitalianinmykitchen.com/chicken-boscaiola/,An Italian in My Kitchen,82.0,Entree,Italian,5.0 (8 ratings),Creamy mushroom Italian chicken; deliciously spiced,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Italian Chicken and Tomato Skillet with Roasted Peppers,https://anitalianinmykitchen.com/italian-chicken-and-tomato-skillet-with-roasted-peppers/,An Italian in My Kitchen,82.0,Entree,Italian,4.67 (12 ratings),"Flavor-packed; juicy chicken; tomatoes, roasted peppers",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,One-Pan
Italian Herb Roasted Chicken and Potatoes,https://anitalianinmykitchen.com/italian-herb-roasted-chicken/,An Italian in My Kitchen,82.0,Entree,Italian,4.6 (5 ratings),Simple; Italian spices; moist; one-pan roast,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,One-Pan
Mediterranean Salmon and Spaghetti,https://thehappyfoodie.co.uk/recipes/mediterranean-salmon-and-spaghetti/,The Happy Foodie,81.0,Entree,Mediterranean,5.0 (2 ratings),Quick; healthy; Mediterranean flavors; satisfying,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Pasta
Creamy Salmon Pasta with Chilli Lemon,https://thehappyfoodie.co.uk/recipes/creamy-salmon-pasta-with-a-chilli-lemon-kick/,The Happy Foodie,81.0,Entree,Mediterranean,NR,Chilli lemon kick; creamy; quick midweek meal,,,,,,,,,,1,,,,,,,1,Replace onion with the green tops of scallions.,,,,,,,Salmon,Pasta
Mary Berry's Lemon and Caper Salmon Linguine,https://thehappyfoodie.co.uk/recipes/mary-berrys-lemon-and-caper-salmon-linguine/,The Happy Foodie,81.0,Entree,Mediterranean,4.9 (10 ratings),Capers + lemon cuts through creaminess; quick supper,0,0,,0,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Salmon,Pasta
Curry Red Lentil Stew with Kale & Chickpeas,https://simple-veganista.com/curry-red-lentil-stew-with-kale/,The Simple Veganista,81.0,Entree,Indian,5.0 (22 reviews),Indian spiced; kale + chickpeas; serve over rice; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Chickpea Tikka Masala (Simple Veganista),https://simple-veganista.com/chickpea-tikka-masala/,The Simple Veganista,81.0,Entree,Indian,5.0 (56 reviews),One-pan; lusciously creamy; easy simple ingredients; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,One-Pan
Chana Masala,https://simple-veganista.com/chana-masala/,The Simple Veganista,81.0,Entree,Indian,5.0 (6 reviews),30 min; serve over basmati or quinoa; vegan; gluten-free,1,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Entree
Spicy Red Lentil Dal,https://simple-veganista.com/spicy-da/,The Simple Veganista,81.0,Entree,Indian,5.0 (14 reviews),Quick + easy dal; spicy; vegan protein-rich,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Soup/Stew
Jamaican Curry Chicken,https://www.saveur.com/article/Recipes/Curried-Chicken/,Saveur,81.0,Entree,Latin/South American,4.7 (41 ratings),"Rich coconut sauce; allspice, ginger; Jamaican classic",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Soup/Stew
Telangana Chicken (Curried Chicken Stew),https://www.saveur.com/article/recipes/telangana-chicken-telangana-style-curried-chicken-stew/,Saveur,81.0,Entree,Indian,NR,"South Indian; coconut, lime, garlic, cardamom marinade",0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Soup/Stew
Cardamom Chicken Curry,https://www.saveur.com/article/Recipes/Cardamom-Chicken-Curry/,Saveur,81.0,Entree,Indian,NR,Green + black cardamom; author Monica Bhide,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Soup/Stew
Garlic Butter Pasta with Crispy Salmon,https://food52.com/recipes/82839-garlic-butter-pasta-with-crispy-salmon,Food52,72.0,Entree,American,3.2 (19 ratings),Canned salmon + capers + artichokes; pantry; under 20 min,0,0,,0,0,,0,0,,0,1,Sub butter → olive or coconut oil for DF,0,0,,0,0,,0,0,,0,0,,Salmon,Pasta
"Creamy Pasta with Salmon, Asparagus & Peas",https://food52.com/recipes/58509-creamy-pasta-with-salmon-asparagus-peas,Food52,72.0,Entree,Mediterranean,4.5 (37 ratings),Crème fraîche + brown butter; tarragon; seasonal,,,,,,,,,,,,,,,,,,,,,,,,,Salmon,Pasta
Brown Butter Salmon Pasta with Hazelnut-Caper Breadcrumbs,https://food52.com/recipes/87708-brown-butter-salmon-pasta-with-hazelnut-caper-breadcrumbs,Food52,72.0,Entree,American,4.7 (47 ratings),Fast weeknight; asparagus; lemony; canned or fresh salmon,0,0,,0,0,,0,0,,0,1,Sub butter → olive or coconut oil for DF,0,0,,0,0,,0,0,,0,0,,Salmon,Pasta
Fettuccine with Smoked Salmon and Dill Cream Sauce,https://food52.com/recipes/9148-fettuccine-with-a-smoked-salmon-and-dill-cream-sauce,Food52,72.0,Entree,American,4.1 (28 ratings),"Creamy, smoky; dill; 10 min; elegant",,,,,,,,,,,,,,,,,,,,,,,,,Salmon,Pasta
Vegan Orange Chicken,https://www.thissavoryvegan.com/vegan-orange-chicken/,This Savory Vegan,75.0,Entree,Asian,5.0 (14 ratings),Soy curls + homemade sauce; crispy; better than takeout; vegan,1,0,,1,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Entree
Vegan Bang Bang Tofu,https://www.thissavoryvegan.com/vegan-bang-bang-tofu/,This Savory Vegan,75.0,Entree,Asian,5.0 (20 ratings),Spicy-creamy sauce; served over rice; flavor bomb; vegan,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Entree
Tofu Noodle Stir-Fry,https://www.thissavoryvegan.com/tofu-noodle-stir-fry/,This Savory Vegan,75.0,Entree,Asian,5.0 (12 ratings),Crispy tofu; tons of veggies; homemade stir-fry sauce; vegan,1,0,,1,0,,0,1,Sub soy sauce → tamari for GF,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Noodles
Sticky Garlic Tofu,https://www.thissavoryvegan.com/sticky-garlic-tofu/,This Savory Vegan,75.0,Entree,Asian,5.0 (1 rating),Agave garlic sauce; broccolini stir-fry; vegan; quick,1,0,,1,0,,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Legumes,Entree
Methi Matar Malai (Fenugreek Pea Curry),https://ministryofcurry.com/methi-matar-malai/,Ministry of Curry,75.0,Entree,Indian,4.1 (3 ratings),Creamy North Indian curry; fenugreek + peas; vegetarian,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Vegetable,Soup/Stew
Easy Palak Paneer (Spinach Paneer Curry),https://ministryofcurry.com/palak-paneer/,Ministry of Curry,75.0,Entree,Indian,4.78 (9 ratings),15-min Instant Pot; spinach + paneer; vegetarian restaurant favorite,0,0,,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,Paneer,Soup/Stew
Andhra Chicken Curry (Kodi Kura),https://www.indianhealthyrecipes.com/andhra-chicken-curry-recipe-kodi-kura-with-step-by-step-pictures/,Swasthi's Recipes,70.0,Entree,Indian,4.99 (61 ratings),Spicy Andhra-style; traditional South Indian technique,0,0,,0,0,,1,0,,1,0,,0,0,,0,0,,0,0,,0,0,,Chicken,Soup/Stew
