"ingredient_name","frequency","example_raw"
"lb. prunes","1","1/2 lb. prunes"
"teaspoon italian blend herbs","1","1 teaspoon Italian blend herbs  (or Herbs de Provence)"
"- 15 red chinese chilies, seeds removed","1","5- 15 dried red Chinese chilies, halved and seeds removed (SEE NOTES, dont use Thai Chilies)"
"green onions, cut into 1-inch slices","1","5 green onions, cut into 1-inch slices (slice white parts in half, lengthwise)"
"or 3 carrots","1","2 large or 3 medium carrots, chopped (about 1 cup)"
"baby bella mushrooms, cleaned","1","8 ounces Baby Bella mushrooms, cleaned and chopped"
"&frac12; cups marinara sauce, or store-bought","1","2 &frac12; cups marinara sauce, homemade* or store-bought (I used Rao&#8217;s)"
"bhindi","1","500 grams bhindi (okra, chopped into rounds)"
"teaspoon amchur","1","1 teaspoon amchur (dried mango powder)"
"pound oxtail or short ribs","1","2 pound oxtail or short ribs"
"ancho chiles )","1","7  ancho chiles ((ends trimmed and de-seeded))"
"guajillo chiles )","1","7  guajillo chiles ((ends trimmed and de-seeded))"
"chiles de arbol )","1","3  chiles de arbol ((ends trimmed and de-seeded))"
"can 28-ounce san marzano tomatoes","1","1 can 28-ounce crushed San Marzano tomatoes"
"shallots, larger ones lengthwise","1","10 shallots, peeled, larger ones halved lengthwise"
"medjool dates, lengthwise","1","8 Medjool dates, pitted and halved lengthwise"
"lb fish , cleaned, scaled & gutted","1","1 3lb whole fish (red snapper, branzino or seabass), cleaned, scaled & gutted"
"assorted herbs","1","assorted fresh herbs (thyme, oregano, parsley, rosemary)"
"jalapenos, deseeded as desired","1","2 medium jalapenos, deseeded as desired and diced"
"tablespoon harissa","1","1 tablespoon harissa"
"croutons","1","Homemade croutons (for serving, optional)"
"pound roma tomatoes","1","1 pound roma tomatoes (diced)"
"handfuls of rocket","1","2 large handfuls of rocket"
"yellow peaches","1","2  medium yellow peaches, (pitted and sliced)"
"chinese chili flakes )","1","Chinese chili flakes ((for garnish) (Optional))"
"a container of store-bought hummus or this hummus recipe","1","A small container of store-bought hummus or this homemade hummus recipe"
"sweet yellow onions","1","2  sweet yellow onions, (thinly sliced)"
"russet potatoes, 1/8&quot; on a mandoline","1","4 lbs (about 4-7) large russet potatoes, peeled and sliced about 1/8&quot; thick (3mm) on a mandoline"
"half &amp; half","1","1 1/2 cups half &amp; half"
"or 2 cedar planks*","1","1 or 2  cedar planks*"
"ro-tel tomatoes green chilies","1","2 cans Ro-Tel tomatoes and green chilies"
"slider buns","1","12  slider buns, halved and toasted"
"to 2 tablespoons sauce","1","1 to 2 tablespoons hot sauce"
"brown mushrooms","1","8 ounces brown mushrooms (or white mushrooms, sliced)"
"teaspoon poultry seasoning","1","½ teaspoon poultry seasoning (or ¼ teaspoon ground sage)"
"-6 red chilis","1","5-6 whole dried red chilis (optional)"
"roma tomatoes, or cut into bite size pieces","1","2 Roma tomatoes, sliced or cut into bite size pieces"
"toppings","1","Optional toppings, (see notes)"
"sprig curry leaves","1","1 sprig curry leaves ( or 8 pudina/mint leaves)"
"batch shawarma marinade","1","1 batch shawarma marinade"
"-2 cups tomatoes","1","1-2 cups sliced tomatoes"
"vegetables )","1","2 cups frozen vegetables ((peas, carrots, corn))"
"pinch chili flakes","1","pinch chili flakes"
"to 2 1/2 tablespoons taco seasoning","1","2 to 2 ½ tablespoons taco seasoning (homemade or store bought)"
"-2 cups tzakiki sauce","1","1-2 cups Tzakiki sauce"
"cup tzakiki sauce","1","1 cup Tzakiki sauce"
"peperoncini, for serving","1","peperoncini, for serving"
"cup green peas )","1","1/2 cup frozen green peas ((optional))"
"mild green chili","1","1  mild green chili (finely chopped, optional )"
"a few dashes of sauce","1","A few dashes of hot sauce (such as Tabasco or Cholula) (optional)"
"cup carrots, matchsticks or ribbons","1","1 cup carrots, matchsticks or ribbons"
"scallions )","1","2  scallions ((finely chopped, divide half for the filling and half for the sauce/garnish))"
"black tea bags )","1","2  black tea bags ((or 2 tablespoons black tea leaves))"
"medium-sized sweet potatoes","1","6  medium-sized sweet potatoes"
"cup monterey jack","1","1 cup shredded Monterey Jack"
"cup baby tomatoes","1","1 Cup Baby Tomatoes (halved)"
"cup water to to desired consistency","1","1/4 cup water to thin to desired consistency"
"pound to potatoes","1","1 pound small to medium potatoes"
"1 tablespoon water, or just enough to get blender going &#8211; you may not need this","1","optional: 1 tablespoon water, or just enough to get blender going &#8211; you may not need this"
"mandarin oranges","1","3 small mandarin oranges"
"tbsp filtered water","1","2 tbsp filtered water"
"serranos","1","2  serranos, sliced"
"cup red curry paste","1","1/4 cup red curry paste"
"-4 shallots","1","3-4  shallots thinly sliced"
"cup coconut flakes","1","1/2 cup toasted coconut flakes (unsweetened)"
"chiles","1","2 dried chiles (chile de arbol, japones, or bird’s eye), optional"
"cup persian cucumbers","1","1 1/2 cup diced Persian cucumbers (about 3 small)"
"pound of baby potatoes )","1","1 pound of small baby potatoes ((you could also use carrots) )"
"carrots, cut into 1/3-inch pieces","1","2 large carrots, peeled and cut into 1/3-inch pieces (about 1 cup)"
"tsp. thai red curry paste","1","2 tsp. Thai red curry paste"
"russet potatoes, )","1","2 medium  russet potatoes, peeled and chopped ((about 2 cups chopped))"
"half half","1","1 3/4 cups half and half (see notes)"
"-2 tbsps jerk seasoning, or store-bought","1","1-2 Tbsps jerk seasoning, homemade or store-bought"
"-3 tablespoons harissa sauce","1","2-3 tablespoons harissa sauce"
"lb. )","1","1 lb. boneless (skinless chicken breasts (tenders or thighs))"
"cup yellow onions","1","¼ cup yellow onions (finely chopped)"
"meyer lemons )","1","2  Meyer lemons (, zested (use 2-3 regular lemons if you can&#39;t find Meyer lemons))"
"-1 cup mushrooms","1","½-1 cup sliced mushrooms (see note)"
"mixed mushrooms","1","2 pounds mixed mushrooms, roughly torn"
"-1/2 cup jalapeños","1","1/4-1/2 cup pickled jalapeños"
"-2 teaspoons chili flakes","1","1-2 teaspoons chili flakes"
"carrots, or cut into matchsticks","1","2  large carrots, julienned or cut into matchsticks"
"red harissa sauce","1","2 tablespoons red Harissa sauce"
"sweet potatoes, cut into bite-size chunks","1","2  sweet potatoes, cut into bite-size chunks"
"sweet potatoes , into &frac14;-inch cubes","1","2 medium sweet potatoes (about 1 &frac12; pounds), sliced into small, &frac14;-inch cubes"
"avocados, into long strips","1","2 ripe avocados, sliced into long strips"
"jalapeño, deseeded, membranes removed","1","1 medium jalapeño, deseeded, membranes removed and roughly chopped"
"yukon gold potatoes , into 1/8-inch-thick rounds","1","2 ½ pounds Yukon gold potatoes (6 to 7 medium potatoes), sliced into ⅛-inch-thick rounds"
"sauce:","1","Sauce:"
"tsp red curry paste )","1","4 tsp red curry paste (, store bought (Maesri brand best, Note 2))"
"tsp kecap manis )","1","3 tsp Kecap Manis ((Indonesian sweet soy sauce, Note 3))"
"tsp sambal oelak or other chilli paste )","1","1 tsp sambal oelak or other chilli paste ((adjust spiciness to taste))"
"-2 cups carrots","1","1-2 cups shredded carrots"
"-2 cups beets","1","1-2 cups shredded beets"
"cup snap peas","1","1 cup sliced snap peas"
"sunflower sprouts","1","fresh sunflower sprouts"
"lb pizza dough ball, into two or three","1","1 lb pizza dough ball, divided into two or three"
"any other toppings you&#39;d like to add to your pizza","1","Any other toppings you&#39;d like to add to your pizza"
"oil for greasing","1","Oil for greasing"
"tsp chives","1","1 tsp dried chives"
"tsp caper brine","1","2 tsp caper brine"
"- 1/2 pound potatoes","1","1 ¼- ½ pound potatoes (thick slices or wedges)"
"limes.","1","2 limes."
"coconut yoghurt, to serve .","1","Coconut yoghurt, to serve (not incl. in nutritional breakdown)."
"sweet potatoes , cut into 1&#8243; cubes","1","4 pounds sweet potatoes (about 7 small-to-medium), peeled and cut into 1&#8243; cubes"
"head romaine","1","1  head romaine, (roughly chopped)"
"&#8531; cup cranberries or tart cherries","1","&#8531; cup dried cranberries or dried tart cherries, chopped"
"cup shallots )","1","½ cup shallots (chopped (or red onions))"
"meaty fish or white fish )","1","3 pounds meaty firm fish or white fish ((cut into 1-inch cubes))"
"potatoes cut into 3/4-inch cubes.)","1","2 pounds potatoes ((such as Yukon or red potatoes) cut into ¾-inch cubes.)"
"pandan leaves","1","1  pandan leaves (, knotted)"
"tbsp desiccated coconut","1","1 tbsp desiccated coconut (, toasted, to garnish)"
"tablespoon mild harissa paste","1","2 tablespoon mild harissa paste (35 grams / 1.2 ounces)"
"bag coleslaw mix*","1","1 (14-ounce) bag coleslaw mix*"
"cherries","1","2 cups frozen cherries, roughly chopped"
"shallots, or","1","2  shallots, sliced or chopped"
"avocados, or","1","2  avocados, sliced or diced"
"pound red or golden potatoes )","1","1 pound red or golden potatoes (halved or quartered (depending on how large they are))"
"lemons )","1","2  lemons (juiced (about 6 tablespoons))"
"baby potatoes","1","8 baby potatoes (halved)"
"thai red chilies","1","2 small thai red chilies (thinly sliced)"
"mushrooms )","1","8 ounces mushrooms (thinly sliced or torn (about 3 cups))"
"bundle green onions )","1","1 bundle green onions ((bulbs removed, roughly chopped))"
"-7 thai red chilies )","1","4-7 dried Thai red chilies  ((omit for less  heat // or sub 1 Tbsp chili garlic sauce // more or less to taste))"
"cup grapes","1","1 Cup Grapes (cleaned and chopped)"
"-2 tablespoons water","1","1-2 Tablespoons water"
"birdseye chilies","1","2 medium Birdseye chilies (sliced and seeds removed, if you don&#39;t like heat!)"
"grain of choice","1","Grain of choice"
"&#8212;&#8212","1","&#8212;&#8212;"
"cup elbow macaroni","1","1 cup elbow macaroni"
"baby cucumbers, on a box grater","1","2  baby cucumbers, grated on a box grater"
"baby cucumbers","1","2  baby cucumbers, diced"
"-4 oz. green curry paste","1","3-4 oz. green curry paste (1 jar is usually 4oz.)"
"- ounce cans","1","2 13.5- ounce cans unsweetened (full-fat coconut milk)"
"-2 handful snap peas","1","1-2  handful snap peas"
"-4 zucchinis or prepped zoodles","1","3-4  medium zucchinis or prepped zoodles (could also serve over rice or cauliflower rice)"
"green curry paste","1","4 tablespoons green curry paste (I used Thai Kitchen)"
"cup scallions , plus more for garnish","1","1/4 cup  sliced scallions (from 2 to 3 scallions), plus more for garnish"
"oz/200g broccolini","1","7oz/200g broccolini"
"romaine, washed","1","2  heads romaine, washed and chopped"
"beefsteak tomatoes","1","2  beefsteak tomatoes, chopped"
"teaspoon chili flakes-","1","1/4 teaspoon chili flakes- optional (Aleppo or Urfa Biber are good here)"
"a jalapeno","1","1/2 a jalapeno, sliced (more for more heat)"
"cup sambal olek plus 1 -2 tablespoons more for spicy.","1","¼ cup Sambal Olek ( garlic chili paste) plus 1 -2 tablespoons more for extra spicy."
"-10 pre-soaked skewers","1","8-10 Pre-soaked Skewers (optional)"
"teaspoon of chili flakes","1","1 teaspoon of dried chili flakes (optional, and adjust to your heat preference)"
"skewers","1","Skewers"
"freezer bag or bowl for marinating","1","Large freezer bag or bowl for marinating"
"fajita seasoning","1","1½ tablespoons fajita seasoning"
"tsp chili flakes","1","½ tsp chili flakes (adjust to taste)"
"wheat elbows or shells","1","16 ounces whole wheat elbows or shells (or lentil/chickpea pasta of choice)"
"strawberries","1","2 cups sliced strawberries"
"to 2 scallions, for garnish","1","1 to 2  scallions, thinly sliced, for garnish"
"pound white boiling potatoes , cut in half)","1","1 pound small white boiling potatoes ((baby yukons), cut in half)"
"all-purpose seasoning","1","1 1/2 Tablespoons all-purpose seasoning (1 tsp salt, 2 tsp garlic, 1/2 tsp onion powder, 1 tsp smoked paprika, 1/2 tsp pepper)"
"-8 cups romaine","1","6-8 cups chopped romaine (or crispy lettuce of choice)"
"to 2 shallots","1","1 to 2  shallots, (chopped)"
"to 2 ounces sundried tomatoes","1","1 to 2 ounces sundried tomatoes, (chopped)"
"cornichons","1","3  Cornichons (chopped)"
"sprouted english muffin","1","1  Sprouted English Muffin"
"oil of choice","1","Oil of choice (for brushing the grill or grill pan)"
"-oz can tomatoes","1","1 28-oz can whole tomatoes (*)"
"to 16 oz. sweet potatoes","1","12 to 16 oz. sweet potatoes, peeled and cubed"
"minus 2 tbsp water","1","1 1/4 cups MINUS 2 tbsp   water"
"snap peas, ends","1","400 grams snap peas, ends trimmed"
"cup apricots","1","1/4 cup dried apricots"
"green onions, for serving","1","chopped green onions, for serving"
"carrots, 2 carrots","1","2 cups carrots, chopped- about 2 large carrots"
"sheet seaweed or sushi nori","1","1 large sheet dried seaweed or sushi nori (folded into a small square)"
"package dinner rolls, lengthwise","1","1 package (12 count)  dinner rolls, halved lengthwise"
"tablespoon jalapeño juice","1","1 tablespoon pickled jalapeño juice"
"-4 japanese sweet potatoes/sweet potatoes, cut into wedges","1","3-4  Japanese sweet potatoes/sweet potatoes, cut into wedges"
"pound cut up assorted fish","1","1 pound cut up assorted fish (eg. shrimp,prawns, cod, haddock, calamari, mussels, clams etc)"
"-11/2 cups water )","1","1¼ -1½ cups  water  ((depending on how thick you want it, more soup or stew))"
"fish 1 fish","1","1 whole fish (e.g., sea bass, tilapia, snapper, or trout) 1 whole fish (cleaned and scaled)"
"-4 pieces limes","1","3-4 pieces limes (Juiced to taste.)"
"-2 pieces bird’s-eye chilies","1","1-2 pieces bird’s-eye chilies (Adjust to taste.)"
"* */ a splash of water","1","/* optional */  a splash of hot water (To loosen the sauce if needed.)"
"* */ chilies","1","/* optional */  extra chilies (For added heat.)"
"oz mixed greens or spring mix","1","16 oz mixed greens or spring mix"
"tbsp yuzu juice","1","2 tbsp yuzu juice"
"tbsp jerk seasoning","1","1 Tbsp jerk seasoning"
"-4 tbsps jerk dry rub seasoning","1","3-4 Tbsps Homemade Jerk Dry Rub Seasoning"
"cup jerk seasoning paste/marinade","1","1 cup Jerk seasoning paste/marinade"
"-2 limes","1","1-2  limes, halved"
"jerk seasoning paste/marinade","1","2 Tbsps Jerk seasoning paste/marinade"
"-5 carrots, scraped into rounds","1","4-5 carrots, scraped and sliced into thin rounds (1 1/2 cups)"
"cup peas, defrosted","1","1 cup frozen peas, defrosted"
"yukon gold potatoes, )","1","2  Yukon gold potatoes, (peeled and 1/2-inch diced (about 1 1/2 cups))"
"branzinos","1","4   Branzinos (cleaned and gutted)"
"-3 teaspoons taco seasoning","1","2-3 teaspoons taco seasoning"
"g cavolo nero","1","200g Cavolo Nero"
"g vegan yoghurt","1","150g Vegan Yoghurt"
"tsp herbes de provence","1","1 tsp herbes de provence"
"-2 tablespoons jalapeños","1","1-2 tablespoons chopped pickled jalapeños"
"-2 jalapeños if desired","1","1-2  jalapeños seeded, if desired and chopped"
"cup tomatoes )","1","½ cup tomatoes  ((chopped, optional, read notes))"
"to 4 red chilies )","1","2 to 4  dried red chilies ( (or ¼ to ½ tsp Kashmiri red chili powder))"
"red chili )","1","1  dried red chili ( (break and remove the seeds))"
"to 4 pearl onions )","1","3 to 4  pearl onions (sliced thinly (Or 3 tbsps sliced shallots))"
"sprig curry leaves )","1","1 sprig curry leaves ((pat dry))"
"pitta","1","4 Pitta"
"g natural yoghurt","1","200g Natural Yoghurt"
"-2 tablespoons sambal oelek","1","1-2 tablespoons sambal oelek (spicy chili paste)"
"taco seasoning*","1","2 tablespoons taco seasoning*"
"scallions pieces, white green parts","1","3  scallions (, cut into 1” (2.5 cm) pieces, white and green parts divided)"
"-2 tablespoons chili paste )","1","1-2 tablespoons chili paste ((found in the Asian section of most grocery stores))"
"bundle of green onions","1","1 bundle of  green onions (chopped)"
"al pastor marinade, below","1","al pastor marinade, below"
"tablespoon achiote paste","1","1 tablespoon achiote paste (see Recipe Notes)"
"teaspoon cardamon","1","½ teaspoon cardamon"
"teaspoon chili flakes, more to taste","1","1 teaspoon chili flakes, more to taste"
"&#8212;&#8211","1","&#8212;&#8211;"
"tablespoon chili","1","1 tablespoon fresh chili, finely minced (optional, or sub jalapeno, Thai red chili)"
"chili-","1","finely chopped fresh chili- optional!"
"lb baby potatoes","1","1 lb baby potatoes"
"party wings","1","1 1/2 pounds party wings"
"-2 teaspoons chili paste","1","1-2 teaspoons chili paste (sambal oelek, sriracha, gochujang paste)"
"teaspoon 5-spice","1","1/4 teaspoon 5-spice (optional)"
"or 3 carrots, cut crosswise into 1/2-inch-thick coins","1","2  large or 3 medium carrots, peeled and cut crosswise into ½-inch-thick coins"
"pound slender heirloom carrots, scrubbed clean patted dry","1","1 pound slender heirloom carrots, scrubbed clean and patted dry (I didn&#8217;t peel mine)"
"shallots, cut into wedges","1","3 shallots, cut into wedges"
"lb. radishes","1","1 lb. radishes (sliced in half)"
"zucchinis, into coins","1","2  medium zucchinis, sliced into coins"
"oz. baby bella mushrooms","1","8 oz. baby bella (or cremini) mushrooms, sliced"
"oil of choice, plus for grilling","1","2 tablespoons oil of choice, plus extra for grilling"
"tablespoon adobo sauce )","1","1 tablespoon adobo sauce ((see headnotes for substitutes))"
"cup mixed leafy herbs )","1","1 cup mixed leafy herbs ((such as cilantro, parsley, basil, or a combination))"
"to 2 green chili )","1","1 to 2  green chili ( (chopped or deseeded &amp; slit, adjust to heat, leave out for no heat))"
"strands mace )","1","2 strands mace ((optional))"
"to 2 cups water )","1","1½ to 2 cups water ((I use 2 cups water))"
"pears","1","2  ripe pears (cut into thin matchsticks)"
"teaspoon five-spice powder","1","1/4 teaspoon five-spice powder"
"-2 teaspoons shawarma seasoning","1","1-2 teaspoons shawarma seasoning (*see notes)"
"zest of 2 lemons","1","Zest of 2 lemons"
"tbsp. mild harissa paste )","1","2 Tbsp. mild harissa paste ((such as Mina brand))"
"tsp. chili flakes","1","1/4 tsp. chili flakes"
"gold potatoes","1","8  gold potatoes, (peeled and cut into wedges)"
"-3 gold potatoes","1","2-3  gold potatoes, diced"
"package taco seasoning","1","1 (1-ounce) package Taco Seasoning"
"teaspoon furikake seasoning","1","2 Teaspoon Furikake Seasoning"
"red onions","1","Pickled Red Onions (grab my recipe here!)"
"/1kg sweet potatoes","1","2.2lbs/1kg sweet potatoes (kumara)"
"can rotel tomatoes","1","1 can (10 ounce) Rotel tomatoes"
"jalapenos )","1","3  jalapenos (roughly chopped (see note 2))"
"teaspoon ground cardamon","1","½ teaspoon ground cardamon"
"prepared hummus","1","2 cups prepared hummus"
"pound tomatoes","1","1 pound tomatoes, thinly sliced"
"tbsp. harissa*","1","1 Tbsp. harissa*"
"water for boiling","1","Water for boiling"
"bunch lacinto","1","1  bunch Lacinto (Dino kale, de-stemmed, and roughly chopped)"
"shallots, lengthwise","1","4 large shallots, quartered lengthwise"
"potatoes - or enough to cover a baking sheet or larger size baking dish in a slightly overlapping single layer, )","1","4 medium potatoes (russets, Yukon)- or enough to cover a baking sheet or larger size baking dish in a slightly  overlapping single layer, )"
"carrots, diagonally into 1/2-inch pieces","1","3 medium carrots, peeled and sliced diagonally into 1/2-inch pieces"
"oz. baby white potatoes, scrubbed","1","12 oz. baby white potatoes, scrubbed and quartered"
"-1 teaspoon chili flakes","1","1/2-1 teaspoon chili flakes"
"1/8 cup barberries","1","Optional: 1/8 cup barberries"
"g / 1/2 cup peas or petit pois","1","65 g / ½ cup frozen peas or petit pois"
"g / 31/2 oz mixed salad leaves","1","100 g / 3½ oz mixed salad leaves"
"green part of 2 spring onions / scallions","1","green part of 2 spring onions / scallions, sliced thinly"
"scallions, green parts only","1","2 scallions, dark green parts only, thinly sliced"
"g shop-bought crispy onions","1","50g shop-bought crispy onions"
"kg carrots, cut in 3-4 oblique chunks","1","1kg carrots, trimmed and cut in 3-4 thick oblique chunks"
"urfa chilli flakes","1","urfa chilli flakes (optional)"
"red onions , cut in 4 wedges","1","3 red onions (400g), cut in 4 wedges"
"red chilli, split in half","1","1 red chilli, split in half"
"tsp aleppo chilli, or 1/2 tsp regular chilli flakes","1","¾ tsp aleppo chilli, or ½ tsp regular chilli flakes"
"lemons; 5 shaved strips of zest 21/2 tbsp juice","1","2 lemons; 5 shaved strips of zest and 2½ tbsp juice"
"good pinch of saffron threads , mixed with 1 tbsp water","1","1 good pinch of saffron threads (1/4tsp), mixed with 1 tbsp hot water"
"ml arak, ouzo or pernod","1","100ml arak, ouzo or Pernod"
"clementines, unpeeled , horizontally into 0.5cm slices","1","4 clementines, unpeeled (400g in total), sliced horizontally into 0.5cm slices"
"g medjoul dates","1","70g pitted and quartered medjoul dates"
"leeks, cut into 3cm coins","1","5 leeks, trimmed and cut into 3cm thick coins (700 g)"
"tsp aleppo chilli flakes","1","¼ tsp aleppo chilli flakes"
"onions , 1 the other 2 each cut into 6 wedges","1","3 onions (540g), peeled, 1 roughly chopped and the other 2 each cut into 6 wedges"
"g figs","1","100g soft dried figs, quartered"
"g figs, into 1cm dice","1","50g soft dried figs, chopped into 1cm dice"
"urfa or aleppo chilli flakes","1","urfa or aleppo chilli flakes"
"g chives","1","20g chives, roughly chopped"
"tsp aleppo chilli","1","1 tsp Aleppo chilli (optional)"
"teaspoon asofetida )","1","1/4 teaspoon asofetida ((hing))"
"cup water or more for desired consistency","1","1 cup water or more for desired consistency"
"lb turnips","1","1 lb turnips (peeled and cubed)"
"scallions for garnish","1","Thinly sliced scallions for garnish"
"other desired herbs","1","other desired herbs (I used a pinch of fresh thyme and cilantro)"
"carrots, scrubbed clean","1","2 carrots, scrubbed clean, finely chopped"
"can tomatoes*","1","1 can (15 ounces) crushed tomatoes*"
"-4 roma tomatoes","1","3-4 roma tomatoes, diced"
"to carrots , heirloom or carrots are best","1","1 1/2 lbs small to medium carrots (about 12-14), heirloom or organic carrots are best"
"za&#39;atar","1","1 1/2 teaspoons za&#39;atar"
"tablespoon barberries","1","1 tablespoon barberries, optional"
"spring onions, washed well","1","12 spring onions, trimmed, washed well and dried (180g)"
"red chillies, deseeded, widthways","1","2 red chillies, deseeded, halved widthways and julienned (20g)"
"–4 limes: 1 to serve, the rest juiced to get 3 tbsp","1","3–4 limes: 1 halved, to serve, and the rest juiced to get 3 tbsp"
"–3 clementines","1","2–3 clementines (200g), peeled (140g)"
"toum","1","Toum (for serving)"
"vegetables","1","Vegetables (for serving)"
"mushrooms, cut into strips","1","3 cups mushrooms, cut into strips"
"sweet potatoes, dice","1","1 1/2 cups sweet potatoes, medium dice"
"white sauce recipe","1","white sauce recipe (below)"
"tablespoon aji amarillo or other chili paste","1","½ tablespoon aji amarillo or other chili paste"
"-ounce package achiote paste )","1","1  3 ½-ounce package achiote paste (achiote rojo or annatto paste))"
"ancho chilies-rehydrated","1","2 Dried Ancho Chilies-rehydrated"
"yukon gold or russet potatoes","1","4 small Yukon gold or russet potatoes, chopped"
"-4 cups hominy -2 to 3 cans or use pre-cooked hominy, see notes","1","3-4 cups cooked hominy -2 to 3 cans drained, or use pre-cooked dried hominy, see notes"
"oz marinara sauce )","1","24 oz marinara sauce ((divided))"
"for the topping:","1","For the topping:"
"chives, for serving","1","chopped fresh chives, for serving"
"can can green chilies","1","1 (4 ounces) can can diced green chilies"
"teaspoon creole seasoning","1","1 teaspoon creole seasoning"
"limes, cut into wedges","1","2  limes, cut into wedges"
"-ounce can tomatoes","1","1 14.5-ounce can diced tomatoes"
"pound broccolini","1","1 pound broccolini, trimmed"
"red thai chiles, slit but kept intact, plus chiles for serving","1","2 fresh red Thai chiles, slit but kept intact, plus thinly sliced chiles for serving"
"cup rajma ))","1","1 cup rajma  ((dry kidney beans or 2 – 15 Oz canned beans (3 cups)))"
"tomatoes )","1","1½ cups (2 large, 300 grams)  tomatoes  ((chopped &amp; pureed, or 1 cup canned tomato puree))"
"to 1 teaspoon red chilli powder )","1","½ to 1 teaspoon red chilli powder  ((Kashmiri or byadgi))"
"to 1 tablespoon kasuri methi )","1","½ to 1 tablespoon kasuri methi  ((dried fenugreek leaves))"
"jerk seasoning","1","3 tablespoons jerk seasoning (1.5 tbsp with the chicken, and 1.5 tbsp goes in the sauce)"
"starchy potatoes","1","2.2  pounds starchy potatoes (peeled and cubed)"
"hamburger buns for serving","1","Hamburger buns for serving"
"sun-dried tomatoes","1","4 ounces sun-dried tomatoes (completely drained, oil reserved for cooking)"
"lb. baby potatoes","1","1 lb. baby potatoes"
"tbsp. harissa paste","1","6 Tbsp. harissa paste, divided"
"your favorite vegetables","1","your favorite vegetables (optional, for serving)"
"pound onions , cut into 1/4-inch dice","1","1 pound onions (about 3 medium), cut into 1/4-inch dice"
"-ounce can tomatoes, preferably san marzano, with its juice","1","1 28-ounce can whole tomatoes, preferably San Marzano, with its juice"
"pearl onions","1","8 ounces pearl onions, peeled (about 12 to 15 onions)"
"to 4 jalapeños","1","3 to 4 jalapeños, seeded and diced"
"elbow macaroni or shells","1","16 ounces elbow macaroni or medium shells"
"carrots, cut on an angle into 1/2-inch slices","1","4 medium carrots, peeled and cut on an angle into 1/2-inch slices"
"avocados, lengthwise, crosswise or","1","2 avocados, halved lengthwise, pitted and thinly sliced crosswise or diced"
"cup leeks","1","1 cup thinly sliced leeks"
"for the fish:","1","For the fish:"
"persian cucumbers, or 2 hothouse cucumbers","1","6 Persian cucumbers, or 2 hothouse cucumbers"
"scallions, segments on the diagonal, reserved separately)","1","4  scallions, (whites finely sliced, greens cut into ½-inch (13-mm) segments on the diagonal, reserved separately)"
"stem scallions","1","1 stem scallions"
"tsp mild chilli powder","1","1/2 tsp mild chilli powder"
"g 0% fat greek yoghurt","1","100g 0% fat greek yoghurt"
"kg new potatoes","1","1kg  new potatoes, halved"
"seasonal greens, to serve","1","seasonal greens, to serve"
"ml natural yoghurt","1","150ml natural yoghurt"
"tbsp fenugreek seeds","1","0.5tbsp Fenugreek Seeds"
"cup mixed herbs","1","½ cup finely chopped mixed fresh herbs (parsley, chives, and mint)"
"carrots, cut in rounds","1","3 large carrots, peeled and cut in rounds"
"for the meatballs","1","FOR THE MEATBALLS"
"cup shallots, from 3 shallots","1","¾ cup finely chopped shallots, from about 3 shallots"
"filets white fish","1","4 filets white fish"
"-4 lemons, into rounds","1","3-4 lemons, sliced into rounds"
"pint sun gold tomatoes, in half","1","1 pint sun gold tomatoes, sliced in half"
"serano chili","1","1 serano chili, thinly sliced"
"chanterelle mushrooms, cleaned","1","10 ounces chanterelle mushrooms, cleaned and torn"
"sea scallops","1","1 ½ pounds sea scallops"
"lemons, seeds removed, peel, pith fruit","1","2 lemons, seeds removed, peel, pith and fruit finely chopped"
"persian cucumbers or radishes, or both, for serving","1","2 Persian cucumbers or radishes, or both, sliced, for serving"
"g of 0% fat greek yoghurt","1","250g of 0% fat greek yoghurt"
"ml of water","1","50ml of cold water"
"tbsp yoghurt","1","4tbsp Yoghurt"
"tablespoon very chervil )","1","1 tablespoon very finely chopped fresh chervil ((okay to substitute more parsley if you can&#39;t find it))"
"tablespoon very chives","1","1 tablespoon very finely chopped fresh chives"
"tbsp spring onions, to garnish","1","3 tbsp finely chopped spring onions, to garnish"
"for the spice mix:","1","For the spice mix:"
"tsp chilli powder","1","2 tsp chilli powder"
"tsp five-spice powder","1","1 tsp five-spice powder"
"bone-in short ribs, at least 1 1/2-inch cut into single bone portions","1","5 pounds bone-in short ribs, at least 1 1/2-inch thick, cut into single bone portions (or 3 1/2 to 4 pounds boneless, at least 1 1/2-inch thick)"
"lemons, for juicing","1","3 lemons, halved, for juicing"
"jar good quality marinara sauce","1","Large jar (24 oz) good quality Marinara sauce (such as Rao's)"
"tomatoes - 400g - blend for a smoother curry)","1","14 ounces fresh tomatoes (diced (if using canned, do not drain) - 400g - BLEND for a smoother curry)"
"largely carrots","1","2 cups largely chopped carrots"
"handfuls snap peas, strings removed","1","2 handfuls snap peas, strings removed"
"cup peas, or peas","1","½ cup fresh peas, or frozen peas, thawed"
"carrots, ribboned","1","3 medium carrots, peeled and ribboned"
"vidalia onions","1","2  Vidalia onions (or 1 small yellow onion, cut into 1-inch pieces)"
"teaspoon herbes de provence","1","½ teaspoon herbes de Provence"
"cup spicy zhoug sauce","1","1/4 cup spicy zhoug sauce  (or use fresh basil pesto)"
"italian herbs seasoning","1","2 teaspoons Italian herbs seasoning"
"tbsp. shallots","1","3 Tbsp. minced shallots"
