ingredient,issue,raw_example,usda_candidates,your_correction
seasonings,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Optional: any of your other favorite seasonings or marinade.,"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [Branded] SEASONINGS (fdcId: 2378748) | [Branded] SEASONED SALT SEASONING, SEASONED SALT (fdcId: 2277026)",
lemongrass stalks,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","2 lemongrass stalks, bottom third only, tough outer layers removed, thinly sliced","[SR Legacy] Broccoli, stalks, raw (fdcId: 169331) | [SR Legacy] SMART SOUP, Vietnamese Carrot Lemongrass (fdcId: 171184) | [Branded] LEMONGRASS CHICKEN, LEMONGRASS (fdcId: 2160528) | [Branded] SODA, LEMONGRASS, LEMONGRASS (fdcId: 2084173)",
metal skewers,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","Ten to twelve 8""–10"" metal skewers, or bamboo, soaked 30 minutes","[Branded] METALLIC SPRINKLE SET (fdcId: 2625491) | [Branded] SPRINKLES MIX, METALLIC (fdcId: 2543254)",
seafood seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon seafood seasoning (like Primal Palate),"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [FNDDS] Paella with seafood (fdcId: 2706711) | [FNDDS] Seafood dip (fdcId: 2705784) | [Branded] SEAFOOD SEASONING (fdcId: 2072806) | [Branded] SEAFOOD SEASONING (fdcId: 2009507)",
dry vermouth,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2/3 cup dry vermouth*,"[SR Legacy] Bulgur, dry (fdcId: 170688) | [SR Legacy] Couscous, dry (fdcId: 169699) | [Foundation] Lentils, dry (fdcId: 2644283) | [Foundation] Beans, cannellini, dry (fdcId: 2644281) | [Branded] OLIVES WITH VERMOUTH (fdcId: 2135618) | [Branded] VERMOUTH JALAPEO ONIONS (fdcId: 2616110)",
tuscan seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons Tuscan Seasoning,"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [Branded] TUSCAN SEASONING (fdcId: 1946743) | [Branded] TUSCAN SEASONED BROCCOLI, TUSCAN SEASONED (fdcId: 2675605)",
creamy corn slaw,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","creamy corn slaw, for serving, recipe in notes ((optional))","[SR Legacy] Corn grain, white (fdcId: 168920) | [SR Legacy] Corn grain, yellow (fdcId: 170288) | [Foundation] Oil, corn (fdcId: 748323) | [Foundation] Almond butter, creamy (fdcId: 2262074) | [Branded] CREAMY COLE SLAW, CREAMY (fdcId: 1976758) | [Branded] CREAMY COLE SLAW, CREAMY (fdcId: 1826068)",
togarashi,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 1/2 teaspoons togarashi (, optional)","[Branded] TOGARASHI SMOKED SALMON, TOGARASHI (fdcId: 2551927) | [Branded] SHICHIMI TOGARASHI GRINDER, SHICHIMI TOGARASHI (fdcId: 1862071)",
rendered lard,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoon rendered lard or extra-virgin olive oil,"[SR Legacy] Lard (fdcId: 171401) | [SR Legacy] Pork, bacon, rendered fat, cooked (fdcId: 168324) | [Branded] LARD (fdcId: 2116466) | [Branded] LARD (fdcId: 577716)",
dill leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","15g dill leaves, roughly chopped","[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Foundation] Pickles, cucumber, dill or kosher dill (fdcId: 324653) | [FNDDS] Taro leaves, cooked (fdcId: 2709633) | [FNDDS] Grape leaves stuffed with rice (fdcId: 2709064) | [Branded] DOLMA VINE LEAVES STUFFED WITH RICE AND DILL (fdcId: 2290154)",
stracciatella cheese,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Stracciatella cheese or burrata,"[SR Legacy] Cheese spread, cream cheese base (fdcId: 169081) | [SR Legacy] Bread, cheese (fdcId: 167944) | [Foundation] Cheese, cheddar (fdcId: 328637) | [Foundation] Cheese, swiss (fdcId: 746767) | [Branded] UNCURED PEPPERONI AND STRACCIATELLA CHEESE PIZZA, UNCURED PEPPERONI AND STRACCIATELLA CHEESE (fdcId: 1847215) | [Branded] STRACCIATELLA (fdcId: 2314677)",
hardy herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","2 sprigs hardy herbs (such as avocado leaves, rosemary, thyme, or bay)","[SR Legacy] Beverages, tea, herb, brewed, chamomile (fdcId: 174156) | [SR Legacy] Tomato products, canned, sauce, with herbs and cheese (fdcId: 170057) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [FNDDS] Pasta with cream sauce and meat, ready-to-heat (fdcId: 2708863) | [Branded] HARDY HORSERADISH SAUCE (fdcId: 2632323)",
tender herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","3 small sprigs tender herbs (such as epazote, cilantro, basil, or mint)","[SR Legacy] APPLEBEE'S, chicken tenders platter (fdcId: 169841) | [SR Legacy] Fast foods, chicken tenders (fdcId: 173321) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [FNDDS] Chicken tenders or strips, NFS (fdcId: 2706098) | [FNDDS] Chicken tenders or strips, breaded, from frozen (fdcId: 2706102)",
dried barberries,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","40g dried barberries, soaked for a few minutes in freshly boiled water with a pinch of sugar","[SR Legacy] Litchis, dried (fdcId: 169087) | [SR Legacy] Longans, dried (fdcId: 169907) | [Foundation] Egg, white, dried (fdcId: 323793) | [Foundation] Egg, whole, dried (fdcId: 329490) | [Branded] DRIED BERRY BLEND ORGANIC DRIED CRANBERRIES, RAISINS, DRIED BLUEBERRIES & DRIED CHERRIES, DRIED BERRY BLEND (fdcId: 2280187) | [Branded] DRIED ISLAND DRIED PINEAPPLE, DRIED PAPAYA, GOLDEN RAISINS, DRIED CRANBERRIES, BANANA CHIPS AND DRIED STRAWBERRIES FRUIT MIX, DRIED ISLAND (fdcId: 2280444)",
shahi jeera,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",¼ to ½ teaspoon shahi jeera ((leave out if you don&#39;t have)),[Branded] JEERA KHARI PUFFED PASTRY (fdcId: 2073052) | [Branded] JEERA KHARI PUFFED PASTRY (fdcId: 2073053),
peppercinis,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",3 tablespoons chopped peppercinis,,
baharat,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 teaspoons Baharat,"[Branded] SADAF, BAHARAT SEASONING (fdcId: 2027342) | [Branded] ARABIAN BAHARAT SPICE BLEND (fdcId: 1952005)",
adobo seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Any other seasonings you like (I used Simply Organics Adobo),"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [FNDDS] Adobo, with noodles (fdcId: 2708809) | [FNDDS] Adobo, with rice (fdcId: 2708958) | [Branded] ADOBO SEASONING (fdcId: 2009497) | [Branded] ADOBO SEASONING (fdcId: 2071662)",
dried chilli flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp dried chilli flakes or 1 fresh red chilli (thinly sliced),"[SR Legacy] Egg, white, dried, flakes, stabilized, glucose reduced (fdcId: 173426) | [SR Legacy] Nuts, coconut meat, dried (desiccated), sweetened, flaked, canned (fdcId: 170578) | [Foundation] Egg, white, dried (fdcId: 323793) | [Foundation] Egg, whole, dried (fdcId: 329490) | [FNDDS] Cereal, wheat flakes (fdcId: 2708480) | [FNDDS] Cereal, corn flakes, flavored (fdcId: 2708474)",
italian blend herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon Italian blend herbs  (or Herbs de Provence),"[SR Legacy] Bread, Italian (fdcId: 174913) | [SR Legacy] Beverages, tea, herb, brewed, chamomile (fdcId: 174156) | [Foundation] Sausage, Italian, pork, mild, cooked, pan-fried (fdcId: 746780) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [FNDDS] Italian Ice (fdcId: 2710317) | [FNDDS] Italian sausage (fdcId: 2706189)",
szechuan peppercorns,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","½ teaspoon Szechuan peppercorns, crushed or sub black peppercorns","[SR Legacy] Salad dressing, peppercorn dressing, commercial, regular (fdcId: 168093) | [SR Legacy] HORMEL ALWAYS TENDER, Pork Tenderloin, Peppercorn-Flavored (fdcId: 168317) | [FNDDS] Szechuan beef (fdcId: 2706740) | [FNDDS] Green beans, cooked, Szechuan-style (fdcId: 2710041) | [Branded] SZECHUAN PEPPERCORN INFUSED HOT HONEY, SZECHUAN PEPPERCORN (fdcId: 2509051) | [Branded] PREMIUM STEAK STRIPS, SZECHUAN PEPPERCORN (fdcId: 1915427)",
mexican cinnamon stick,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/2  Mexican cinnamon stick ((See note if not using Mexican cinnamon)),"[SR Legacy] Cheese, Mexican blend (fdcId: 171288) | [SR Legacy] ON THE BORDER, Mexican rice (fdcId: 169031) | [Foundation] Butter, stick, salted (fdcId: 790508) | [Foundation] Butter, stick, unsalted (fdcId: 789828) | [Branded] CINNAMON STICKS, CINNAMON (fdcId: 2181252) | [Branded] CINNAMON STICKS, CINNAMON (fdcId: 2642757)",
shredded birria,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 1/2 cups shredded birria (from my Beef Birria recipe),"[SR Legacy] Cheese, parmesan, shredded (fdcId: 173431) | [SR Legacy] Cheese, mozzarella, low moisture, part-skim, shredded (fdcId: 170900) | [FNDDS] Cereal, shredded wheat, flavored (fdcId: 2708457) | [FNDDS] Cereal, shredded wheat, plain (fdcId: 2708479) | [Branded] BIRRIA TACO SEASONING, BIRRIA TACO (fdcId: 2591041) | [Branded] BIRRIA MEXICAN-INSPIRED COOKING SAUCE, BIRRIA (fdcId: 2606617)",
fennel frond,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","fennel stalks for stuffing, fronds for garnish","[SR Legacy] Fennel, bulb, raw (fdcId: 169385) | [SR Legacy] Spices, fennel seed (fdcId: 171323) | [Foundation] Fennel, bulb, raw (fdcId: 2747655) | [FNDDS] Fennel bulb, cooked (fdcId: 2709907) | [FNDDS] Fennel bulb, raw (fdcId: 2709779) | [Branded] FENNEL TARALLI, FENNEL (fdcId: 1916833)",
fire-roasted tomato,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",28 ounces diced fire-roasted tomatoes with their juices,"[SR Legacy] SUBWAY, roast beef sub on white bread with lettuce and tomato (fdcId: 170713) | [SR Legacy] SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato (fdcId: 170314) | [Foundation] Tomato, roma (fdcId: 1999634) | [Foundation] Tomato, puree, canned (fdcId: 2685582) | [Branded] FIRE ROASTED CRUSHED TOMATOES, FIRE ROASTED (fdcId: 2025483) | [Branded] FIRE ROASTED CRUSHED TOMATOES, FIRE ROASTED (fdcId: 2654211)",
crushed pepper flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","Dash crushed pepper flakes, (optional)","[SR Legacy] Tomatoes, crushed, canned (fdcId: 170501) | [SR Legacy] Onions, dehydrated flakes (fdcId: 170002) | [Foundation] Tomatoes, crushed, canned (fdcId: 2685581) | [Foundation] Peppers, bell, green, raw (fdcId: 2258588) | [Branded] CRUSHED RED PEPPER, CRUSHED (fdcId: 2052376) | [Branded] THICK SLICED PEPPERED BACON COATED WITH CRUSHED PEPPER, CRUSHED PEPPER (fdcId: 2163554)",
grains,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","for serving, as desired: cooked rice or grains of choice, capered lemon dill sauce (below)","[SR Legacy] Rye grain (fdcId: 168884) | [SR Legacy] Sorghum grain (fdcId: 169716) | [Foundation] Buckwheat, whole grain (fdcId: 2512378) | [Foundation] Millet, whole grain (fdcId: 2512379) | [FNDDS] Muffin, whole grain (fdcId: 2707836) | [FNDDS] Pancakes, whole grain (fdcId: 2708309)",
grilled bread,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","grilled bread, for serving","[SR Legacy] Mushrooms, portabella, grilled (fdcId: 169243) | [SR Legacy] CARRABBA'S ITALIAN GRILL, lasagne (fdcId: 169030) | [Foundation] Bread, white, commercially prepared (fdcId: 325871) | [Foundation] Bread, whole-wheat, commercially prepared (fdcId: 335240) | [FNDDS] Grilled cheese sandwich, American cheese, on wheat bread (fdcId: 2705803) | [FNDDS] Grilled cheese sandwich, American cheese, on white bread (fdcId: 2705802)",
chinese chili flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Chinese chili flakes ((for garnish) (Optional)),"[SR Legacy] Broccoli, chinese, cooked (fdcId: 169392) | [SR Legacy] Broccoli, chinese, raw (fdcId: 169404) | [Foundation] Restaurant, Chinese, sweet and sour pork (fdcId: 746774) | [Foundation] Restaurant, Chinese, fried rice, without meat (fdcId: 334536) | [Branded] CHINESE STYLE HOT CHILI SAUCE, CHINESE STYLE HOT CHILI (fdcId: 2642686) | [Branded] RED CHILI FLAKES (fdcId: 579086)",
cedar planks,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 or 2  cedar planks*,"[Branded] CEDAR PLANK BBQ SALMON, CEDAR PLANK BBQ (fdcId: 1918446) | [Branded] CEDAR PLANK SALMON SEASONING MIX, CEDAR PLANK SALMON (fdcId: 2034407)",
five spice powder,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/2 teaspoon five spice powder,"[SR Legacy] Spices, chili powder (fdcId: 171319) | [SR Legacy] Spices, curry powder (fdcId: 170924) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] CHINESE FIVE SPICE POWDER (fdcId: 2271119) | [Branded] WEI-CHUAN, FIVE SPICE POWDER (fdcId: 2546596)",
red food coloring,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/8 teaspoon red food coloring optional,"[SR Legacy] Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program) (fdcId: 168201) | [SR Legacy] Cherries, sour, red, frozen, unsweetened (Includes foods for USDA's Food Distribution Program) (fdcId: 171718) | [Foundation] Cabbage, red, raw (fdcId: 2346408) | [Foundation] Onions, red, raw (fdcId: 790577) | [FNDDS] Cake, angel food (fdcId: 2707854) | [FNDDS] Jai, Monk's Food (fdcId: 2710037)",
cooked chicken breasts,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2  large cooked chicken breasts (chopped into bite sized chunks (about 250g/9oz)),"[SR Legacy] Chicken breast tenders, breaded, cooked, microwaved (fdcId: 171514) | [SR Legacy] Chicken, broilers or fryers, breast, meat and skin, cooked, roasted (fdcId: 171075) | [Foundation] Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised (fdcId: 331960) | [Foundation] Chicken, breast, boneless, skinless, raw (fdcId: 2646170) | [Branded] FULLY COOKED FLAME GRILLED CHICKEN BREAST FILLETS, CHICKEN BREAST (fdcId: 2148682) | [Branded] BREADED FULLY COOKED CHICKEN BREAST PATTIES WITH RIB MEAT, BREADED FULLY COOKED CHICKEN BREAST (fdcId: 2195706)",
fresh lemongrass,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-2 tablespoons fresh lemongrass- finely chopped,"[SR Legacy] SMART SOUP, Vietnamese Carrot Lemongrass (fdcId: 171184) | [SR Legacy] Basil, fresh (fdcId: 172232) | [Foundation] Corn, sweet, yellow and white kernels,  fresh, raw (fdcId: 2710826) | [Branded] LEMONGRASS CHICKEN, LEMONGRASS (fdcId: 2160528) | [Branded] SODA, LEMONGRASS, LEMONGRASS (fdcId: 2084173)",
cinnamon powder,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/4 teaspoon cinnamon powder,"[SR Legacy] Baobab powder (fdcId: 167806) | [SR Legacy] Sugars, powdered (fdcId: 169656) | [Branded] POWDERED CINNAMON DONUT HOLES, POWDERED CINNAMON (fdcId: 2668637) | [Branded] ASSORTED PLAIN/POWDERED/CINNAMON CAKE DONUTS, PLAIN/POWDERED/CINNAMON (fdcId: 2135536)",
makrut lime leaves,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",6  makrut lime leaves,"[SR Legacy] Drumstick leaves, raw (fdcId: 168416) | [SR Legacy] Amaranth leaves, raw (fdcId: 168385) | [Branded] MAKRUT LIME CBD-INFUSED SPARKLING WATER, MAKRUT LIME (fdcId: 2507055) | [Branded] MAKRUT LIME-LEAF INFUSED VERMONT ORGANIC MAPLE SYRUP, MAKRUT LIME-LEAF INFUSED (fdcId: 1047205)",
italian seasonings,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",3 teaspoons Italian seasonings,"[SR Legacy] Bread, Italian (fdcId: 174913) | [SR Legacy] Salami, Italian, pork (fdcId: 174603) | [Foundation] Sausage, Italian, pork, mild, cooked, pan-fried (fdcId: 746780) | [Branded] ITALIAN SEASONED BREADCRUMBS, ITALIAN SEASONED (fdcId: 2466086) | [Branded] ITALIAN SEASONED CROUTONS, ITALIAN SEASONED (fdcId: 1982911)",
liguine,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",12 oz. dry liguine or fettuccine pasta,,
za'atar seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tablespoon za'atar seasoning,"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [Branded] ZA'ATAR SEASONING, ZA'ATAR (fdcId: 2375178) | [Branded] ZA'ATAR SEASONING, ZA'ATAR (fdcId: 1994587)",
soft herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 cup chopped soft herbs, such as cilantro, dill, mint or basil, or a combination, more for serving","[SR Legacy] Pretzels, soft (fdcId: 169064) | [SR Legacy] Pretzels, soft, unsalted (fdcId: 174790) | [Foundation] Cookies, oatmeal, soft, with raisins (fdcId: 333008) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Branded] GARLIC & HERB SOFT GOAT CHEESE, GARLIC & HERB (fdcId: 2629784) | [Branded] GARLIC & HERBS SOFT SPREADABLE CHEESE, GARLIC & HERBS (fdcId: 2034015)",
sambal oelak,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp sambal oelak or other chilli paste ((adjust spiciness to taste)),"[Branded] SAMBAL AIOLI, SAMBAL (fdcId: 2418965) | [Branded] SAMBAL OELEK (fdcId: 2016176)",
pizza dough,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 lb pizza dough ball, divided into two or three","[SR Legacy] Phyllo dough (fdcId: 172791) | [SR Legacy] Cookies, oatmeal, refrigerated dough (fdcId: 174961) | [Branded] PIZZA DOUGH (fdcId: 1912657) | [Branded] PIZZA DOUGH (fdcId: 2120329)",
kewpie,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2/3 cup kewpie or mayonnaise,"[Branded] KEWPIE, DRESSING & RICH GLAZE, CINNAMON SPICE, CINNAMON SPICE (fdcId: 1896748) | [Branded] CAESAR DRESSING, CAESAR (fdcId: 2215973)",
msg,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",¼ teaspoon MSG ((optional)),[Branded] FLAVOR ENHANCER MSG (fdcId: 2269416) | [Branded] MSG MONOSODIUM GLUTAMATE (fdcId: 2449440),
garlic scapes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 pound garlic scapes (rough tips and ends removed),"[SR Legacy] Garlic, raw (fdcId: 169230) | [SR Legacy] Garlic bread, frozen (fdcId: 167939) | [Foundation] Garlic, raw (fdcId: 1104647) | [FNDDS] Garlic sauce (fdcId: 2710169) | [FNDDS] Garlic, cooked (fdcId: 2709932) | [Branded] GARLIC ADDICTION WITH GARLIC HUMMUS, GARLIC (fdcId: 2668700)",
grain,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",Grain of choice,"[SR Legacy] Rye grain (fdcId: 168884) | [SR Legacy] Sorghum grain (fdcId: 169716) | [Foundation] Buckwheat, whole grain (fdcId: 2512378) | [Foundation] Millet, whole grain (fdcId: 2512379) | [FNDDS] Muffin, whole grain (fdcId: 2707836) | [FNDDS] Pancakes, whole grain (fdcId: 2708309)",
vermouth,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1/3 cup sherry wine or white wine or vermouth,[Branded] OLIVES WITH VERMOUTH (fdcId: 2135618) | [Branded] VERMOUTH JALAPEO ONIONS (fdcId: 2616110),
all-purpose seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 1/2 Tablespoons all-purpose seasoning (1 tsp salt, 2 tsp garlic, 1/2 tsp onion powder, 1 tsp smoked paprika, 1/2 tsp pepper)","[SR Legacy] Wheat flour, white, all-purpose, unenriched (fdcId: 169761) | [SR Legacy] Oil, industrial, soy ( partially hydrogenated), all purpose (fdcId: 172362) | [Foundation] Flour, wheat, all-purpose, enriched, bleached (fdcId: 789890) | [Foundation] Flour, wheat, all-purpose, enriched, unbleached (fdcId: 789951) | [FNDDS] Sherbet, all flavors (fdcId: 2705677) | [FNDDS] Tart, all types (fdcId: 2707994)",
pickled jalapeño juice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tablespoon pickled jalapeño juice,"[SR Legacy] Eggplant, pickled (fdcId: 169892) | [SR Legacy] Pickles, cucumber, sweet (includes bread and butter pickles) (fdcId: 169378) | [Foundation] Peppers, jalapeno, seeded, raw (fdcId: 2747661) | [Foundation] Pickles, cucumber, dill or kosher dill (fdcId: 324653) | [FNDDS] Pickles, NFS (fdcId: 2710097) | [FNDDS] Beets, pickled (fdcId: 2710071)",
bird's-eye chilies,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-2 pieces bird’s-eye chilies (Adjust to taste.),"[SR Legacy] Caribou, eye, raw (Alaska Native) (fdcId: 169801) | [SR Legacy] Sauce, barbecue, BULL'S-EYE, original (fdcId: 171828) | [Foundation] Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw (fdcId: 746760) | [FNDDS] Chili with macaroni (fdcId: 2706483) | [FNDDS] Chili with chicken (fdcId: 2706426) | [Branded] BIRD'S EYE CHILLI HOT SAUCE, BIRD'S EYE CHILLI (fdcId: 2376710)",
cavolo nero,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",200g Cavolo Nero,"[Branded] HOT GHOST PEPPER SAUCE, HOT GHOST PEPPER (fdcId: 2172580) | [Branded] BALSAMIC APPLE ITALIAN DRESSING, BALSAMIC APPLE (fdcId: 2168906)",
asian five spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon Asian five spice (optional),"[SR Legacy] Pears, asian, raw (fdcId: 168177) | [SR Legacy] Spices, pumpkin pie spice (fdcId: 171332) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] FIVE SPICE ASIAN BLEND, FIVE SPICE (fdcId: 2378286) | [Branded] ASIAN BLEND FIVE SPICE, ASIAN BLEND (fdcId: 2285145)",
italian herb blend,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 teaspoon Italian herb blend,"[SR Legacy] Bread, Italian (fdcId: 174913) | [SR Legacy] Beverages, tea, herb, brewed, chamomile (fdcId: 174156) | [Foundation] Sausage, Italian, pork, mild, cooked, pan-fried (fdcId: 746780) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Branded] ITALIAN HERB BLEND, ITALIAN (fdcId: 2542417) | [Branded] ITALIAN ORGANIC HERB BLEND, ITALIAN (fdcId: 2216143)",
dukkah,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",2 tablespoons dukkah,"[Branded] DUKKAH VINAIGRETTE, DUKKAH (fdcId: 2190078) | [Branded] DUKKAH SEASONING BLEND, DUKKAH (fdcId: 2544639)",
leafy herbs,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 cup mixed leafy herbs ((such as cilantro, parsley, basil, or a combination))","[SR Legacy] Cowpeas, leafy tips, raw (fdcId: 169224) | [SR Legacy] Balsam-pear (bitter gourd), leafy tips, raw (fdcId: 168391) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [Branded] LEAFY KALE (fdcId: 1858860) | [Branded] LEAFY ROMAINE (fdcId: 2503195)",
dried chili flakes,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded","1 - 1 1/2 tsp dried chili flakes (, adjust to taste (Note 4))","[SR Legacy] Egg, white, dried, flakes, stabilized, glucose reduced (fdcId: 173426) | [SR Legacy] Nuts, coconut meat, dried (desiccated), sweetened, flaked, canned (fdcId: 170578) | [Foundation] Egg, white, dried (fdcId: 323793) | [Foundation] Egg, whole, dried (fdcId: 329490) | [FNDDS] Cereal, wheat flakes (fdcId: 2708480) | [FNDDS] Cereal, corn flakes, flavored (fdcId: 2708474)",
metal skewer,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",metal or bamboo skewers,"[Branded] METALLIC SPRINKLE SET (fdcId: 2625491) | [Branded] SPRINKLES MIX, METALLIC (fdcId: 2543254)",
bamboo skewer,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",metal or bamboo skewers,"[SR Legacy] Bamboo shoots, raw (fdcId: 169210) | [SR Legacy] Bamboo shoots, canned, drained solids (fdcId: 169212) | [Branded] BAMBOO RICE (fdcId: 2059938) | [Branded] BAMBOO RICE (fdcId: 2106510)",
shawarma seasoning,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1-2 teaspoons shawarma seasoning (*see notes),"[SR Legacy] Croutons, seasoned (fdcId: 172752) | [SR Legacy] Spices, poultry seasoning (fdcId: 171331) | [FNDDS] Puerto Rican seasoning with ham (fdcId: 2709754) | [FNDDS] Stewed seasoned ground beef, Mexican style (fdcId: 2706393) | [Branded] SHAWARMA ORGANIC SEASONING, SHAWARMA (fdcId: 2506523) | [Branded] SHAWARMA SEASONED CHICKEN BREASTS, SHAWARMA (fdcId: 2152776)",
sumac spice,"No match with complete calorie data found in SR Legacy, Foundation, FNDDS, or Branded",1 tsp sumac spice,"[SR Legacy] Spices, pumpkin pie spice (fdcId: 171332) | [SR Legacy] Spices, cardamom (fdcId: 170919) | [Foundation] Mustard, prepared, yellow (fdcId: 326698) | [Foundation] Salt, table, iodized (fdcId: 746775) | [FNDDS] Cake or cupcake, spice (fdcId: 2707885) | [FNDDS] Danish pastry, plain or spice (fdcId: 2708059)",
